Iter 100, task ccg, loss 6.790415503184001, acc 0.21629, f1 0.21633, p 0.21629, r 0.21638
Iter 200, task ccg, loss 5.395253486633301, acc 0.21981, f1 0.21987, p 0.21984, r 0.21991
Iter 300, task ccg, loss 4.514156160354614, acc 0.20440, f1 0.21144, p 0.21888, r 0.20449
Iter 400, task ccg, loss 4.299643100102743, acc 0.21568, f1 0.22583, p 0.23688, r 0.21577
Iter 500, task ccg, loss 4.203720553716024, acc 0.22052, f1 0.22871, p 0.23742, r 0.22062
Iter 600, task ccg, loss 4.1457088152567545, acc 0.22445, f1 0.23190, p 0.23976, r 0.22455
Iter 700, task ccg, loss 4.101519155502319, acc 0.22795, f1 0.23513, p 0.24266, r 0.22805
Iter 800, task ccg, loss 4.063132413228353, acc 0.23603, f1 0.24217, p 0.24851, r 0.23614
Iter 900, task ccg, loss 4.027169923782349, acc 0.24383, f1 0.24923, p 0.25476, r 0.24394
Iter 1000, task ccg, loss 3.9898660723368327, acc 0.24902, f1 0.25333, p 0.25768, r 0.24913
Iter 1100, task ccg, loss 3.9501612186431885, acc 0.25410, f1 0.25763, p 0.26115, r 0.25421
Iter 1200, task ccg, loss 3.907454201380412, acc 0.25937, f1 0.26245, p 0.26549, r 0.25948
Iter 1300, task ccg, loss 3.861007620493571, acc 0.30668, f1 0.31007, p 0.31338, r 0.30682
Iter 1400, task ccg, loss 3.8124920749664306, acc 0.36342, f1 0.36718, p 0.37085, r 0.36358
Iter 1500, task ccg, loss 3.762559690475464, acc 0.37308, f1 0.37656, p 0.37992, r 0.37325
Iter 1600, task ccg, loss 3.7126327196757, acc 0.38568, f1 0.38906, p 0.39231, r 0.38585
Iter 1700, task ccg, loss 3.6631500403086346, acc 0.39451, f1 0.39779, p 0.40093, r 0.39469
Iter 1800, task ccg, loss 3.6153930981953937, acc 0.39806, f1 0.40092, p 0.40364, r 0.39823
Iter 1900, task ccg, loss 3.570066038767497, acc 0.41313, f1 0.41596, p 0.41865, r 0.41331
Iter 2000, task ccg, loss 3.5267383893330893, acc 0.43593, f1 0.43857, p 0.44104, r 0.43613
Iter 2100, task ccg, loss 3.4856054401397705, acc 0.45989, f1 0.46260, p 0.46512, r 0.46010
Iter 2200, task ccg, loss 3.446930170059204, acc 0.50334, f1 0.50607, p 0.50860, r 0.50357
Iter 2300, task ccg, loss 3.410065517425537, acc 0.51047, f1 0.51312, p 0.51557, r 0.51070
Iter 2400, task ccg, loss 3.3746869945526123, acc 0.52888, f1 0.53148, p 0.53386, r 0.52912
Iter 2500, task ccg, loss 3.341361519495646, acc 0.53921, f1 0.54169, p 0.54395, r 0.53945
Iter 2600, task ccg, loss 3.3087903436024986, acc 0.54385, f1 0.54631, p 0.54855, r 0.54409
Iter 2700, task ccg, loss 3.277264486948649, acc 0.54847, f1 0.55085, p 0.55300, r 0.54872
Iter 2800, task ccg, loss 3.2474056911468505, acc 0.55471, f1 0.55699, p 0.55903, r 0.55496
Iter 2900, task ccg, loss 3.2188816324869793, acc 0.56218, f1 0.56440, p 0.56638, r 0.56243
Iter 3000, task ccg, loss 3.1911325232187906, acc 0.56581, f1 0.56798, p 0.56992, r 0.56606
Iter 3100, task ccg, loss 3.1642063013712565, acc 0.57324, f1 0.57529, p 0.57709, r 0.57350
Iter 3200, task ccg, loss 3.1386936410268147, acc 0.58082, f1 0.58288, p 0.58469, r 0.58108
Iter 3300, task ccg, loss 3.1144331073760987, acc 0.58600, f1 0.58800, p 0.58974, r 0.58626
Iter 3400, task ccg, loss 3.0907942867279052, acc 0.59001, f1 0.59197, p 0.59367, r 0.59028
Iter 3500, task ccg, loss 3.068260307312012, acc 0.59530, f1 0.59721, p 0.59885, r 0.59557
Iter 3600, task ccg, loss 3.046777931849162, acc 0.59915, f1 0.60099, p 0.60257, r 0.59942
Iter 3700, task ccg, loss 3.026275075276693, acc 0.60604, f1 0.60785, p 0.60941, r 0.60631
Iter 3800, task ccg, loss 3.0063599014282225, acc 0.61460, f1 0.61638, p 0.61788, r 0.61488
Iter 3900, task ccg, loss 2.9868568706512453, acc 0.61922, f1 0.62098, p 0.62246, r 0.61950
Iter 4000, task ccg, loss 2.968464202880859, acc 0.62655, f1 0.62830, p 0.62977, r 0.62683
Iter 4100, task ccg, loss 2.9504860146840413, acc 0.63212, f1 0.63385, p 0.63529, r 0.63241
Iter 4200, task ccg, loss 2.933016570409139, acc 0.63472, f1 0.63643, p 0.63787, r 0.63500
