Iter 10, task ccg, loss 7.164478778839111
Iter 20, task ccg, loss 7.1425347328186035
Iter 30, task ccg, loss 7.11880350112915
Iter 40, task ccg, loss 7.090981960296631
Iter 50, task ccg, loss 7.058113098144531
Iter 60, task ccg, loss 7.0191216468811035
Iter 70, task ccg, loss 6.981949806213379
Iter 80, task ccg, loss 6.946877956390381
Iter 90, task ccg, loss 6.89165735244751
Iter 100, task ccg, loss 6.829032897949219
Iter 110, task ccg, loss 6.744418144226074
Iter 120, task ccg, loss 6.665262699127197
Iter 130, task ccg, loss 6.5809807777404785
Iter 140, task ccg, loss 6.435384273529053
Iter 150, task ccg, loss 6.3568949699401855
Iter 160, task ccg, loss 6.197621822357178
Iter 170, task ccg, loss 6.040350914001465
Iter 180, task ccg, loss 5.809628486633301
Iter 190, task ccg, loss 5.734196662902832
Iter 200, task ccg, loss 5.5005340576171875
Iter 210, task ccg, loss 5.317407608032227
Iter 220, task ccg, loss 5.088953971862793
Iter 230, task ccg, loss 4.957892417907715
Iter 240, task ccg, loss 4.875827789306641
Iter 250, task ccg, loss 4.676959991455078
Iter 260, task ccg, loss 4.770574569702148
Iter 270, task ccg, loss 4.662015914916992
Iter 280, task ccg, loss 4.507326602935791
Iter 290, task ccg, loss 4.5418829917907715
Iter 300, task ccg, loss 4.469406604766846
Iter 310, task ccg, loss 4.525762557983398
Iter 320, task ccg, loss 4.5076165199279785
Iter 330, task ccg, loss 4.396162986755371
Iter 340, task ccg, loss 4.434901237487793
Iter 350, task ccg, loss 4.2603044509887695
Iter 360, task ccg, loss 4.397085666656494
Iter 370, task ccg, loss 4.253499507904053
Iter 380, task ccg, loss 4.2026567459106445
Iter 390, task ccg, loss 4.309748649597168
Iter 400, task ccg, loss 4.290387153625488
Iter 410, task ccg, loss 4.111496925354004
Iter 420, task ccg, loss 4.260781288146973
Iter 430, task ccg, loss 4.246336460113525
Iter 440, task ccg, loss 4.125312805175781
Iter 450, task ccg, loss 4.1341047286987305
Iter 460, task ccg, loss 4.217831611633301
Iter 470, task ccg, loss 4.158909797668457
Iter 480, task ccg, loss 4.08635950088501
Iter 490, task ccg, loss 4.193138599395752
Iter 500, task ccg, loss 4.162230491638184
Iter 510, task ccg, loss 4.064532279968262
Iter 520, task ccg, loss 4.055830955505371
Iter 530, task ccg, loss 4.193739414215088
Iter 540, task ccg, loss 4.136763572692871
Iter 550, task ccg, loss 4.105684280395508
Iter 560, task ccg, loss 4.105409145355225
Iter 570, task ccg, loss 4.0210862159729
Iter 580, task ccg, loss 4.15244197845459
Iter 590, task ccg, loss 4.108683109283447
Iter 600, task ccg, loss 4.134096145629883
Iter 610, task ccg, loss 4.092365264892578
Iter 620, task ccg, loss 4.0309319496154785
Iter 630, task ccg, loss 3.9485740661621094
Iter 640, task ccg, loss 4.066790580749512
Iter 650, task ccg, loss 4.0191850662231445
Iter 660, task ccg, loss 4.010200500488281
Iter 670, task ccg, loss 3.968266010284424
Iter 680, task ccg, loss 4.046275615692139
Iter 690, task ccg, loss 4.183719158172607
Iter 700, task ccg, loss 4.076912879943848
Iter 710, task ccg, loss 4.032588005065918
Iter 720, task ccg, loss 4.079840183258057
Iter 730, task ccg, loss 4.0798749923706055
Iter 740, task ccg, loss 4.0931243896484375
Iter 750, task ccg, loss 4.1468071937561035
Iter 760, task ccg, loss 3.994391918182373
Iter 770, task ccg, loss 4.065163612365723
Iter 780, task ccg, loss 4.110133171081543
Iter 790, task ccg, loss 4.0339460372924805
Iter 800, task ccg, loss 4.073883533477783
Iter 810, task ccg, loss 4.0508222579956055
Iter 820, task ccg, loss 3.972489595413208
