Iter 10, task chunking, loss 3.400405168533325
Iter 20, task chunking, loss 3.348235607147217
Iter 30, task chunking, loss 3.2734904289245605
Iter 40, task chunking, loss 3.2273826599121094
Iter 50, task chunking, loss 3.152594566345215
Iter 60, task chunking, loss 3.0884628295898438
Iter 70, task chunking, loss 3.0214171409606934
Iter 80, task chunking, loss 2.9161152839660645
Iter 90, task chunking, loss 2.8362648487091064
Iter 100, task chunking, loss 2.7189507484436035
Iter 110, task chunking, loss 2.664846420288086
Iter 120, task chunking, loss 2.6043331623077393
Iter 130, task chunking, loss 2.5410351753234863
Iter 140, task chunking, loss 2.5147178173065186
Iter 150, task chunking, loss 2.4528090953826904
Iter 160, task chunking, loss 2.452545166015625
Iter 170, task chunking, loss 2.42582368850708
Iter 180, task chunking, loss 2.3552024364471436
Iter 190, task chunking, loss 2.3482327461242676
Iter 200, task chunking, loss 2.3393359184265137
Iter 210, task chunking, loss 2.277301073074341
Iter 220, task chunking, loss 2.3170013427734375
Iter 230, task chunking, loss 2.290945529937744
Iter 240, task chunking, loss 2.269636392593384
Iter 250, task chunking, loss 2.2726247310638428
Iter 260, task chunking, loss 2.267291307449341
Iter 270, task chunking, loss 2.267072916030884
Iter 280, task chunking, loss 2.199387311935425
Iter 290, task chunking, loss 2.242011547088623
Iter 300, task chunking, loss 2.2064709663391113
Iter 310, task chunking, loss 2.2329792976379395
Iter 320, task chunking, loss 2.203364849090576
Iter 330, task chunking, loss 2.141003131866455
Iter 340, task chunking, loss 2.1653571128845215
Iter 350, task chunking, loss 2.1555638313293457
Iter 360, task chunking, loss 2.158090353012085
Iter 370, task chunking, loss 2.094820022583008
Iter 380, task chunking, loss 2.1487576961517334
Iter 390, task chunking, loss 2.142956256866455
Iter 400, task chunking, loss 2.1180806159973145
Iter 410, task chunking, loss 2.0294251441955566
Iter 420, task chunking, loss 2.054638147354126
Iter 430, task chunking, loss 2.0325231552124023
Iter 440, task chunking, loss 2.1122934818267822
Iter 450, task chunking, loss 2.017162799835205
Iter 460, task chunking, loss 2.0667738914489746
Iter 470, task chunking, loss 1.9766197204589844
Iter 480, task chunking, loss 1.998940110206604
Iter 490, task chunking, loss 2.0258853435516357
Iter 500, task chunking, loss 2.072373151779175
Iter 510, task chunking, loss 1.9810212850570679
Iter 520, task chunking, loss 1.9510812759399414
Iter 530, task chunking, loss 1.963793158531189
Iter 540, task chunking, loss 1.9780189990997314
Iter 550, task chunking, loss 1.986782431602478
Iter 560, task chunking, loss 2.0036323070526123
Iter 570, task chunking, loss 1.9602283239364624
Iter 580, task chunking, loss 1.9141534566879272
Iter 590, task chunking, loss 1.9395633935928345
Iter 600, task chunking, loss 1.975786566734314
Iter 610, task chunking, loss 1.931561827659607
Iter 620, task chunking, loss 1.9142720699310303
Iter 630, task chunking, loss 1.9406661987304688
Iter 640, task chunking, loss 1.8762633800506592
Iter 650, task chunking, loss 1.9386606216430664
Iter 660, task chunking, loss 1.8780205249786377
Iter 670, task chunking, loss 1.8726965188980103
Iter 680, task chunking, loss 1.90923273563385
Iter 690, task chunking, loss 1.844447135925293
Iter 700, task chunking, loss 1.8218063116073608
Iter 710, task chunking, loss 1.876224160194397
Iter 720, task chunking, loss 1.821850061416626
Iter 730, task chunking, loss 1.7977157831192017
Iter 740, task chunking, loss 1.8140013217926025
Iter 750, task chunking, loss 1.7859350442886353
Iter 760, task chunking, loss 1.8103597164154053
Iter 770, task chunking, loss 1.7738460302352905
Iter 780, task chunking, loss 1.811244010925293
Iter 790, task chunking, loss 1.7631479501724243
Iter 800, task chunking, loss 1.7747023105621338
Iter 810, task chunking, loss 1.8028405904769897
Iter 820, task chunking, loss 1.7677828073501587
Iter 830, task chunking, loss 1.7920057773590088
