Iter 100, task com, loss 0.9559386571248373, acc 0.80730, f1 0.05800, p 0.25714, r 0.03269
Iter 200, task com, loss 0.851426750421524, acc 0.81718, f1 0.01188, p 0.31250, r 0.00605
Iter 300, task com, loss 0.8047158420085907, acc 0.81784, f1 0.00719, p 0.33333, r 0.00363
Iter 400, task com, loss 0.7666326264540354, acc 0.81850, f1 0.01432, p 0.50000, r 0.00726
Iter 500, task com, loss 0.7349308232466379, acc 0.81806, f1 0.00723, p 0.75000, r 0.00363
Iter 600, task com, loss 0.7086039781570435, acc 0.81543, f1 0.00483, p 0.66667, r 0.00242
Iter 700, task com, loss 0.6867888470490774, acc 0.81279, f1 0.00963, p 0.80000, r 0.00484
Iter 800, task com, loss 0.6688861151536306, acc 0.81059, f1 0.00958, p 0.44444, r 0.00484
Iter 900, task com, loss 0.6546117464701334, acc 0.81103, f1 0.03517, p 0.55556, r 0.01816
Iter 1000, task com, loss 0.642231156428655, acc 0.81037, f1 0.03734, p 0.51613, r 0.01937
Iter 1100, task com, loss 0.6325164635976156, acc 0.81103, f1 0.07223, p 0.53333, r 0.03874
Iter 1200, task com, loss 0.6235865751902262, acc 0.81433, f1 0.11221, p 0.61446, r 0.06174
Iter 1300, task com, loss 0.6155688762664795, acc 0.81499, f1 0.12609, p 0.61702, r 0.07022
Iter 1400, task com, loss 0.608453760544459, acc 0.81564, f1 0.14878, p 0.60870, r 0.08475
Iter 1500, task com, loss 0.6027658383051554, acc 0.81762, f1 0.19512, p 0.60759, r 0.11622
Iter 1600, task com, loss 0.5971376200517019, acc 0.82004, f1 0.21084, p 0.61765, r 0.12712
Iter 1700, task com, loss 0.5909947752952576, acc 0.81982, f1 0.19776, p 0.62581, r 0.11743
Iter 1800, task com, loss 0.5861935118834177, acc 0.81982, f1 0.22310, p 0.60428, r 0.13680
Iter 1900, task com, loss 0.5809590220451355, acc 0.82114, f1 0.22222, p 0.61538, r 0.13559
Iter 2000, task com, loss 0.5762514372666677, acc 0.82290, f1 0.22727, p 0.61828, r 0.13923
Iter 2100, task com, loss 0.571624626715978, acc 0.82421, f1 0.22178, p 0.63429, r 0.13438
Iter 2200, task com, loss 0.5671503494183222, acc 0.82553, f1 0.23819, p 0.63684, r 0.14649
Iter 2300, task com, loss 0.5631258835395178, acc 0.82641, f1 0.24658, p 0.64286, r 0.15254
Iter 2400, task com, loss 0.5594839255015055, acc 0.82597, f1 0.23214, p 0.64286, r 0.14165
Iter 2500, task com, loss 0.5553120970726013, acc 0.82773, f1 0.26321, p 0.63721, r 0.16586
Iter 2600, task com, loss 0.55136505762736, acc 0.82839, f1 0.26346, p 0.64019, r 0.16586
Iter 2700, task com, loss 0.5476680348316828, acc 0.82861, f1 0.25800, p 0.64878, r 0.16102
Iter 2800, task com, loss 0.5442529420057932, acc 0.82905, f1 0.27815, p 0.63636, r 0.17797
Iter 2900, task com, loss 0.5405785342057546, acc 0.83015, f1 0.27567, p 0.64159, r 0.17554
Iter 3000, task com, loss 0.5372574379046758, acc 0.83037, f1 0.27730, p 0.64317, r 0.17676
Iter 3100, task com, loss 0.5339719355106354, acc 0.82949, f1 0.27898, p 0.62979, r 0.17918
Iter 3200, task com, loss 0.5310770571231842, acc 0.82949, f1 0.28008, p 0.62605, r 0.18039
Iter 3300, task com, loss 0.5277210126320521, acc 0.82971, f1 0.28143, p 0.62500, r 0.18160
Iter 3400, task com, loss 0.5245644946893057, acc 0.83037, f1 0.28222, p 0.63291, r 0.18160
