Iter 10, task com, loss 1.8113447427749634
Iter 20, task com, loss 1.6953452825546265
Iter 30, task com, loss 1.5538593530654907
Iter 40, task com, loss 1.446352243423462
Iter 50, task com, loss 1.3209840059280396
Iter 60, task com, loss 1.2338273525238037
Iter 70, task com, loss 1.1123085021972656
Iter 80, task com, loss 1.04278564453125
Iter 90, task com, loss 1.013524055480957
Iter 100, task com, loss 0.995754599571228
Iter 110, task com, loss 0.9442885518074036
Iter 120, task com, loss 0.9432232975959778
Iter 130, task com, loss 0.9173636436462402
Iter 140, task com, loss 0.9045621752738953
Iter 150, task com, loss 0.8767097592353821
Iter 160, task com, loss 0.8939851522445679
Iter 170, task com, loss 0.8843302726745605
Iter 180, task com, loss 0.8669163584709167
Iter 190, task com, loss 0.8696173429489136
Iter 200, task com, loss 0.873278021812439
Iter 210, task com, loss 0.8872688412666321
Iter 220, task com, loss 0.8566039800643921
Iter 230, task com, loss 0.8281134366989136
Iter 240, task com, loss 0.8482786417007446
Iter 250, task com, loss 0.8311871290206909
Iter 260, task com, loss 0.8035160899162292
Iter 270, task com, loss 0.8218625783920288
Iter 280, task com, loss 0.8067255020141602
Iter 290, task com, loss 0.8276522755622864
Iter 300, task com, loss 0.8234803080558777
Iter 310, task com, loss 0.8174828290939331
Iter 320, task com, loss 0.8104937672615051
Iter 330, task com, loss 0.7927809357643127
Iter 340, task com, loss 0.8144289255142212
Iter 350, task com, loss 0.7722698450088501
Iter 360, task com, loss 0.7787521481513977
Iter 370, task com, loss 0.7864553332328796
Iter 380, task com, loss 0.7806315422058105
Iter 390, task com, loss 0.7839889526367188
Iter 400, task com, loss 0.7901923060417175
Iter 410, task com, loss 0.7549533843994141
Iter 420, task com, loss 0.7619096040725708
Iter 430, task com, loss 0.7602729201316833
Iter 440, task com, loss 0.7509281039237976
Iter 450, task com, loss 0.7248355150222778
Iter 460, task com, loss 0.7383646965026855
Iter 470, task com, loss 0.7404999732971191
Iter 480, task com, loss 0.7772067785263062
Iter 490, task com, loss 0.746749758720398
Iter 500, task com, loss 0.7359464764595032
Iter 510, task com, loss 0.7238513827323914
Iter 520, task com, loss 0.71885746717453
Iter 530, task com, loss 0.7341982126235962
Iter 540, task com, loss 0.7482196688652039
Iter 550, task com, loss 0.7200692296028137
Iter 560, task com, loss 0.7289972305297852
Iter 570, task com, loss 0.7157821655273438
Iter 580, task com, loss 0.7238088846206665
Iter 590, task com, loss 0.7122855186462402
Iter 600, task com, loss 0.7043175101280212
Iter 610, task com, loss 0.7221719622612
Iter 620, task com, loss 0.7245407700538635
Iter 630, task com, loss 0.6974796056747437
Iter 640, task com, loss 0.7225723266601562
Iter 650, task com, loss 0.6818111538887024
Iter 660, task com, loss 0.7092124223709106
Iter 670, task com, loss 0.6806022524833679
Iter 680, task com, loss 0.6959718465805054
Iter 690, task com, loss 0.6698611974716187
Iter 700, task com, loss 0.682766854763031
