Iter 100, task com, loss 1.1304873824119568, acc 0.81806, f1 0.00000, p 0.00000, r 0.00000
Iter 100, task hyperlinks, loss 1.022009015083313, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task com, loss 0.9867409567038218, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task hyperlinks, loss 0.8505622545878092, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task com, loss 0.935454656680425, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task hyperlinks, loss 0.787031352519989, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task com, loss 0.9048613905906677, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task hyperlinks, loss 0.7543826301892599, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task com, loss 0.8817724486192068, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task hyperlinks, loss 0.7310018142064413, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task com, loss 0.860873947540919, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task hyperlinks, loss 0.7152723073959351, acc 0.82713, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task com, loss 0.8420723080635071, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task hyperlinks, loss 0.700242261091868, acc 0.82502, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task com, loss 0.8248340586821238, acc 0.81828, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task hyperlinks, loss 0.6889619827270508, acc 0.82291, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task com, loss 0.812391589085261, acc 0.81784, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task hyperlinks, loss 0.6787744959195455, acc 0.82291, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task com, loss 0.8001313706239065, acc 0.81630, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task hyperlinks, loss 0.6702380577723185, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task com, loss 0.7887690365314484, acc 0.81499, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task hyperlinks, loss 0.6620548764864603, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task com, loss 0.7789442539215088, acc 0.81499, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task hyperlinks, loss 0.6562020579973856, acc 0.82079, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task com, loss 0.769727905591329, acc 0.81345, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task hyperlinks, loss 0.6485962470372518, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task com, loss 0.7625358998775482, acc 0.81125, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task hyperlinks, loss 0.6415547132492065, acc 0.82122, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task com, loss 0.7564428051312765, acc 0.81169, f1 0.00962, p 0.66667, r 0.00484
Iter 1500, task hyperlinks, loss 0.6354291439056396, acc 0.82122, f1 0.00488, p 0.50000, r 0.00245
Iter 1600, task com, loss 0.7515248755613962, acc 0.81125, f1 0.00483, p 0.66667, r 0.00242
Iter 1600, task hyperlinks, loss 0.6292119820912679, acc 0.82164, f1 0.00488, p 0.50000, r 0.00245
Iter 1700, task com, loss 0.7446927626927694, acc 0.81147, f1 0.00962, p 0.66667, r 0.00484
Iter 1700, task hyperlinks, loss 0.6246075431505839, acc 0.82079, f1 0.00969, p 0.40000, r 0.00490
Iter 1800, task com, loss 0.7398397922515869, acc 0.81191, f1 0.01909, p 0.66667, r 0.00969
Iter 1800, task hyperlinks, loss 0.6205306649208069, acc 0.82164, f1 0.02864, p 0.54545, r 0.01471
