Iter 100, task com, loss 1.1899164319038391, acc 0.72687, f1 0.00000, p 0.00000, r 0.00000
Iter 100, task mwe, loss 1.580390993754069, acc 0.82272, f1 0.00355, p 0.14286, r 0.00180
Iter 200, task com, loss 0.8331733743349711, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task mwe, loss 1.3915184020996094, acc 0.82959, f1 0.00180, p 1.00000, r 0.00090
Iter 300, task com, loss 0.7383937338987986, acc 0.81872, f1 0.00242, p 1.00000, r 0.00121
Iter 300, task mwe, loss 1.3328128973642985, acc 0.82959, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task com, loss 0.6951677699883779, acc 0.81872, f1 0.00242, p 1.00000, r 0.00121
Iter 400, task mwe, loss 1.2966301918029786, acc 0.82959, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task com, loss 0.6728759407997131, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task mwe, loss 1.2599284807840982, acc 0.82959, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task com, loss 0.6498493353525797, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task mwe, loss 1.2357849995295207, acc 0.82913, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task com, loss 0.632849931716919, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task mwe, loss 1.213688071568807, acc 0.82807, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task com, loss 0.6169297993183136, acc 0.81784, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task mwe, loss 1.19611713886261, acc 0.82669, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task com, loss 0.6026098231474558, acc 0.81477, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task mwe, loss 1.182512060801188, acc 0.82593, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task com, loss 0.5909091532230377, acc 0.81213, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task mwe, loss 1.1692238251368205, acc 0.82532, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task com, loss 0.582525779803594, acc 0.81103, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task mwe, loss 1.1548697312672933, acc 0.82440, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task com, loss 0.5735734303792318, acc 0.80971, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task mwe, loss 1.1446524222691854, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task com, loss 0.5660834709803263, acc 0.80971, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task mwe, loss 1.1340068419774374, acc 0.82272, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task com, loss 0.5594358642896017, acc 0.80927, f1 0.00242, p 0.50000, r 0.00121
Iter 1400, task mwe, loss 1.1260579506556192, acc 0.82272, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task com, loss 0.5534632205963135, acc 0.80927, f1 0.00242, p 0.50000, r 0.00121
Iter 1500, task mwe, loss 1.1171124974886577, acc 0.82211, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task com, loss 0.5472635328769684, acc 0.80905, f1 0.00482, p 0.50000, r 0.00242
Iter 1600, task mwe, loss 1.1103309631347655, acc 0.82211, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task com, loss 0.5427993834018707, acc 0.80861, f1 0.00482, p 0.50000, r 0.00242
Iter 1700, task mwe, loss 1.1022201379140217, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 1800, task com, loss 0.5378477424383163, acc 0.80861, f1 0.00482, p 0.50000, r 0.00242
