Iter 100, task streusle, loss 4.561948998769124, acc 0.25928, f1 0.00911, p 0.01281, r 0.00707
Iter 100, task com, loss 1.083447406689326, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task streusle, loss 4.223808352152506, acc 0.47580, f1 0.00173, p 0.04286, r 0.00088
Iter 200, task com, loss 0.9398638506730398, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task streusle, loss 3.9225491364796956, acc 0.47916, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task com, loss 0.8827768663565317, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task streusle, loss 3.7832768758138022, acc 0.47946, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task com, loss 0.8514561653137207, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task streusle, loss 3.684115839004517, acc 0.47977, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task com, loss 0.8271595239639282, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task streusle, loss 3.6087955951690676, acc 0.47809, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task com, loss 0.8081553479035696, acc 0.81850, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task streusle, loss 3.5495107809702557, acc 0.47274, f1 0.00059, p 0.14286, r 0.00029
Iter 700, task com, loss 0.7921780347824097, acc 0.81806, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task streusle, loss 3.506382354100545, acc 0.46816, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task com, loss 0.7782074411710104, acc 0.81674, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task streusle, loss 3.466408681869507, acc 0.46328, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task com, loss 0.767280509074529, acc 0.81455, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task streusle, loss 3.435578966140747, acc 0.45976, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task com, loss 0.7569737533728281, acc 0.81235, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task streusle, loss 3.412869389851888, acc 0.46099, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task com, loss 0.7466469506422678, acc 0.81103, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task streusle, loss 3.388283125559489, acc 0.46251, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task com, loss 0.7391778926054636, acc 0.81103, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task streusle, loss 3.3615942160288492, acc 0.46404, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task com, loss 0.7340823312600454, acc 0.81059, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task streusle, loss 3.3457901159922283, acc 0.46480, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task com, loss 0.7266524334748586, acc 0.81015, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task streusle, loss 3.3274191697438558, acc 0.46541, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task com, loss 0.7203901807467142, acc 0.80949, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task streusle, loss 3.3093523661295574, acc 0.46633, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task com, loss 0.7151612639427185, acc 0.80971, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task streusle, loss 3.2932297388712564, acc 0.46694, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task com, loss 0.7104576230049133, acc 0.81015, f1 0.00242, p 0.50000, r 0.00121
Iter 1800, task streusle, loss 3.2767859935760497, acc 0.46725, f1 0.00000, p 0.00000, r 0.00000
Iter 1800, task com, loss 0.7053844233353933, acc 0.81103, f1 0.02378, p 0.66667, r 0.01211
Iter 1900, task streusle, loss 3.258073425292969, acc 0.46770, f1 0.00117, p 0.25000, r 0.00059
Iter 1900, task com, loss 0.7021064360936483, acc 0.81279, f1 0.06659, p 0.64444, r 0.03511
Iter 2000, task streusle, loss 3.2428916295369468, acc 0.46862, f1 0.00293, p 0.27778, r 0.00147
Iter 2000, task com, loss 0.6981068551540375, acc 0.81169, f1 0.07256, p 0.57143, r 0.03874
Iter 2100, task streusle, loss 3.227950191497803, acc 0.46938, f1 0.00466, p 0.22222, r 0.00236
Iter 2100, task com, loss 0.694406787554423, acc 0.81257, f1 0.09967, p 0.58442, r 0.05448
Iter 2200, task streusle, loss 3.2130640347798667, acc 0.47519, f1 0.02843, p 0.41667, r 0.01472
Iter 2200, task com, loss 0.6905912160873413, acc 0.81389, f1 0.11013, p 0.60976, r 0.06053
Iter 2300, task streusle, loss 3.19931902885437, acc 0.47855, f1 0.03987, p 0.43030, r 0.02090
Iter 2300, task com, loss 0.6870306928952535, acc 0.81455, f1 0.11233, p 0.62195, r 0.06174
Iter 2400, task streusle, loss 3.188160610198975, acc 0.48053, f1 0.04619, p 0.42132, r 0.02443
Iter 2400, task com, loss 0.6829749544461569, acc 0.81630, f1 0.15090, p 0.61739, r 0.08596
Iter 2500, task streusle, loss 3.1760116895039876, acc 0.48832, f1 0.07235, p 0.43648, r 0.03945
Iter 2500, task com, loss 0.679357260465622, acc 0.81564, f1 0.16493, p 0.59848, r 0.09564
Iter 2600, task streusle, loss 3.16136900583903, acc 0.49061, f1 0.07932, p 0.41389, r 0.04386
Iter 2600, task com, loss 0.6766602496306101, acc 0.81652, f1 0.17066, p 0.60741, r 0.09927
Iter 2700, task streusle, loss 3.1495640436808268, acc 0.49519, f1 0.09422, p 0.40674, r 0.05328
Iter 2700, task com, loss 0.6736515959103903, acc 0.81630, f1 0.15806, p 0.60976, r 0.09080
Iter 2800, task streusle, loss 3.1379863262176513, acc 0.50450, f1 0.12139, p 0.41017, r 0.07124
Iter 2800, task com, loss 0.6704346239566803, acc 0.81630, f1 0.16159, p 0.60630, r 0.09322
Iter 2900, task streusle, loss 3.1266192118326823, acc 0.50847, f1 0.13510, p 0.40058, r 0.08125
Iter 2900, task com, loss 0.667009045680364, acc 0.81718, f1 0.18088, p 0.59864, r 0.10654
Iter 3000, task streusle, loss 3.114328209559123, acc 0.51275, f1 0.14760, p 0.40236, r 0.09037
Iter 3000, task com, loss 0.6641913751761118, acc 0.81806, f1 0.19329, p 0.60510, r 0.11501
Iter 3100, task streusle, loss 3.100077231725057, acc 0.51412, f1 0.14731, p 0.40995, r 0.08979
Iter 3100, task com, loss 0.6620640655358633, acc 0.81916, f1 0.20544, p 0.61078, r 0.12349
Iter 3200, task streusle, loss 3.0891815344492595, acc 0.51687, f1 0.15804, p 0.40759, r 0.09803
Iter 3200, task com, loss 0.6588196456432343, acc 0.81982, f1 0.20905, p 0.61538, r 0.12591
Iter 3300, task streusle, loss 3.0760705629984537, acc 0.51825, f1 0.16013, p 0.39559, r 0.10038
Iter 3300, task com, loss 0.6564864913622538, acc 0.81828, f1 0.19473, p 0.60000, r 0.11622
Iter 3400, task streusle, loss 3.0621607144673666, acc 0.52115, f1 0.16845, p 0.37149, r 0.10892
Iter 3400, task com, loss 0.6541608075300852, acc 0.82026, f1 0.21200, p 0.60920, r 0.12833
Iter 3500, task streusle, loss 3.04848469098409, acc 0.52268, f1 0.16976, p 0.38090, r 0.10921
Iter 3500, task com, loss 0.6522942980130514, acc 0.82158, f1 0.22767, p 0.60104, r 0.14044
Iter 3600, task streusle, loss 3.036901839574178, acc 0.52359, f1 0.17487, p 0.36372, r 0.11510
Iter 3600, task com, loss 0.6497823894023895, acc 0.82180, f1 0.21958, p 0.60000, r 0.13438
Iter 3700, task streusle, loss 3.0243482907613117, acc 0.52512, f1 0.17753, p 0.36339, r 0.11746
Iter 3700, task com, loss 0.6481960018475851, acc 0.82356, f1 0.24348, p 0.60287, r 0.15254
Iter 3800, task streusle, loss 3.011861006418864, acc 0.52832, f1 0.18428, p 0.35672, r 0.12423
Iter 3800, task com, loss 0.6455182532469431, acc 0.82290, f1 0.23369, p 0.59701, r 0.14528
Iter 3900, task streusle, loss 3.0011020342508954, acc 0.53062, f1 0.18821, p 0.36433, r 0.12688
Iter 3900, task com, loss 0.642829438050588, acc 0.82268, f1 0.22571, p 0.59585, r 0.13923
Iter 4000, task streusle, loss 2.9894033432006837, acc 0.53306, f1 0.19439, p 0.35019, r 0.13453
Iter 4000, task com, loss 0.6405612130959829, acc 0.82356, f1 0.21980, p 0.60326, r 0.13438
Iter 4100, task streusle, loss 2.978648646672567, acc 0.53688, f1 0.20271, p 0.36240, r 0.14071
Iter 4100, task com, loss 0.638277401526769, acc 0.82399, f1 0.23564, p 0.60199, r 0.14649
Iter 4200, task streusle, loss 2.969856691360474, acc 0.53932, f1 0.20677, p 0.35586, r 0.14572
Iter 4200, task com, loss 0.6356058716773987, acc 0.82487, f1 0.23907, p 0.60591, r 0.14891
Iter 4300, task streusle, loss 2.960371478398641, acc 0.54665, f1 0.22213, p 0.36548, r 0.15955
Iter 4300, task com, loss 0.6332682967185974, acc 0.82509, f1 0.25096, p 0.60092, r 0.15860
Iter 4400, task streusle, loss 2.9509050846099854, acc 0.55367, f1 0.23539, p 0.37316, r 0.17192
Iter 4400, task com, loss 0.6307586332162222, acc 0.82553, f1 0.24517, p 0.60476, r 0.15375
Iter 4500, task streusle, loss 2.939040184020996, acc 0.55612, f1 0.23880, p 0.37243, r 0.17574
Iter 4500, task com, loss 0.6292213400204977, acc 0.82575, f1 0.24687, p 0.60664, r 0.15496
Iter 4600, task streusle, loss 2.9297311464945475, acc 0.55947, f1 0.24493, p 0.37722, r 0.18134
