Iter 100, task fnt, loss 1.1652698593754922, acc 0.73187, f1 0.08625, p 0.22374, r 0.05342
Iter 200, task fnt, loss 1.0284920007951799, acc 0.74974, f1 0.03035, p 0.18009, r 0.01657
Iter 300, task fnt, loss 0.9780333003690166, acc 0.75283, f1 0.02204, p 0.17143, r 0.01177
Iter 400, task fnt, loss 0.9406431336556712, acc 0.75525, f1 0.01904, p 0.18699, r 0.01003
Iter 500, task fnt, loss 0.9076440238183544, acc 0.75639, f1 0.02123, p 0.23394, r 0.01112
Iter 600, task fnt, loss 0.8837145586167613, acc 0.75690, f1 0.01641, p 0.23353, r 0.00850
Iter 700, task fnt, loss 0.8622550599036678, acc 0.75592, f1 0.01601, p 0.23750, r 0.00829
Iter 800, task fnt, loss 0.8434454750630164, acc 0.75592, f1 0.02269, p 0.31214, r 0.01177
Iter 900, task fnt, loss 0.8298421280999337, acc 0.75644, f1 0.02520, p 0.34286, r 0.01308
Iter 1000, task fnt, loss 0.8149735139262292, acc 0.75705, f1 0.04298, p 0.41107, r 0.02268
Iter 1100, task fnt, loss 0.801809984830118, acc 0.75829, f1 0.06571, p 0.46957, r 0.03532
Iter 1200, task fnt, loss 0.7950568679840334, acc 0.75901, f1 0.06170, p 0.48867, r 0.03293
Iter 1300, task fnt, loss 0.7832924050669516, acc 0.75953, f1 0.09051, p 0.50442, r 0.04972
Iter 1400, task fnt, loss 0.7722654198446581, acc 0.76066, f1 0.11890, p 0.51765, r 0.06716
Iter 1500, task fnt, loss 0.7648774731543756, acc 0.76148, f1 0.12835, p 0.52839, r 0.07305
Iter 1600, task fnt, loss 0.7559984672454095, acc 0.76375, f1 0.15442, p 0.54933, r 0.08984
Iter 1700, task fnt, loss 0.750058130871865, acc 0.76432, f1 0.15601, p 0.55689, r 0.09071
Iter 1800, task fnt, loss 0.7423968843875393, acc 0.76550, f1 0.17650, p 0.56272, r 0.10467
Iter 1900, task fnt, loss 0.7317328385768398, acc 0.76802, f1 0.22355, p 0.56863, r 0.13912
Iter 2000, task fnt, loss 0.7285300416331137, acc 0.76761, f1 0.20679, p 0.57101, r 0.12625
Iter 2100, task fnt, loss 0.7197961749569062, acc 0.77008, f1 0.23760, p 0.58051, r 0.14937
Iter 2200, task fnt, loss 0.7116464376449585, acc 0.77276, f1 0.26748, p 0.58771, r 0.17314
Iter 2300, task fnt, loss 0.7057006551373389, acc 0.77327, f1 0.27420, p 0.58781, r 0.17881
Iter 2400, task fnt, loss 0.6983980517233571, acc 0.77467, f1 0.28990, p 0.59048, r 0.19211
Iter 2500, task fnt, loss 0.6919166445732117, acc 0.77595, f1 0.30528, p 0.59234, r 0.20563
