Iter 10, task fnt, loss 1.9707810878753662
Iter 20, task fnt, loss 1.8546003103256226
Iter 30, task fnt, loss 1.7565596103668213
Iter 40, task fnt, loss 1.646148443222046
Iter 50, task fnt, loss 1.5586508512496948
Iter 60, task fnt, loss 1.4544484615325928
Iter 70, task fnt, loss 1.3840001821517944
Iter 80, task fnt, loss 1.3133481740951538
Iter 90, task fnt, loss 1.283707857131958
Iter 100, task fnt, loss 1.2673025131225586
Iter 110, task fnt, loss 1.1782207489013672
Iter 120, task fnt, loss 1.181638479232788
Iter 130, task fnt, loss 1.1781960725784302
Iter 140, task fnt, loss 1.1232795715332031
Iter 150, task fnt, loss 1.112540602684021
Iter 160, task fnt, loss 1.1195192337036133
Iter 170, task fnt, loss 1.121854543685913
Iter 180, task fnt, loss 1.138919472694397
Iter 190, task fnt, loss 1.1181129217147827
Iter 200, task fnt, loss 1.115508794784546
Iter 210, task fnt, loss 1.097347378730774
Iter 220, task fnt, loss 1.1247977018356323
Iter 230, task fnt, loss 1.079537272453308
Iter 240, task fnt, loss 1.0734612941741943
Iter 250, task fnt, loss 1.0681054592132568
Iter 260, task fnt, loss 1.0688482522964478
Iter 270, task fnt, loss 1.049878716468811
Iter 280, task fnt, loss 1.0569714307785034
Iter 290, task fnt, loss 1.0631054639816284
Iter 300, task fnt, loss 1.0304969549179077
Iter 310, task fnt, loss 1.0079052448272705
Iter 320, task fnt, loss 1.0304977893829346
Iter 330, task fnt, loss 1.0543019771575928
Iter 340, task fnt, loss 1.0093415975570679
Iter 350, task fnt, loss 1.022107720375061
Iter 360, task fnt, loss 1.0234395265579224
Iter 370, task fnt, loss 1.0292770862579346
Iter 380, task fnt, loss 1.0075950622558594
Iter 390, task fnt, loss 1.0087143182754517
Iter 400, task fnt, loss 1.0149213075637817
Iter 410, task fnt, loss 0.9885185956954956
Iter 420, task fnt, loss 0.9879634976387024
Iter 430, task fnt, loss 1.0273069143295288
Iter 440, task fnt, loss 1.033223271369934
Iter 450, task fnt, loss 0.974991500377655
Iter 460, task fnt, loss 0.9918283224105835
Iter 470, task fnt, loss 0.9694545865058899
Iter 480, task fnt, loss 0.9632107615470886
Iter 490, task fnt, loss 0.9726070165634155
Iter 500, task fnt, loss 0.9411638975143433
Iter 510, task fnt, loss 0.9979252815246582
Iter 520, task fnt, loss 0.9831364750862122
