Iter 100, task fnt, loss 1.2407165227397796, acc 0.74022, f1 0.00000, p 0.00000, r 0.00000
Iter 100, task hyperlinks, loss 1.2642977635065715, acc 0.80938, f1 0.00489, p 1.00000, r 0.00245
Iter 200, task fnt, loss 0.9735967747626766, acc 0.75906, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task hyperlinks, loss 0.8707293470700582, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task fnt, loss 0.8839739541853627, acc 0.76004, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task hyperlinks, loss 0.7988195021947225, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task fnt, loss 0.8425941140420975, acc 0.76066, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task hyperlinks, loss 0.7661896546681722, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task fnt, loss 0.819293575902139, acc 0.76112, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task hyperlinks, loss 0.741284449895223, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task fnt, loss 0.7960675839454897, acc 0.76189, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task hyperlinks, loss 0.7248957554499308, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task fnt, loss 0.7765439777604995, acc 0.76143, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task hyperlinks, loss 0.7111885150273641, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task fnt, loss 0.7586115569837631, acc 0.76169, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task hyperlinks, loss 0.697462240854899, acc 0.82544, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task fnt, loss 0.7481590778596939, acc 0.76169, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task hyperlinks, loss 0.6853755712509155, acc 0.82375, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task fnt, loss 0.7323803305625916, acc 0.76112, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task hyperlinks, loss 0.6749354203542074, acc 0.82375, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task fnt, loss 0.7227949500083923, acc 0.76087, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task hyperlinks, loss 0.6650449434916178, acc 0.82291, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task fnt, loss 0.7109072141108974, acc 0.76050, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task hyperlinks, loss 0.6568303902943929, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task fnt, loss 0.7061093305387804, acc 0.76056, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task hyperlinks, loss 0.6489785512288412, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task fnt, loss 0.6963625444519904, acc 0.75984, f1 0.00087, p 0.25000, r 0.00044
Iter 1400, task hyperlinks, loss 0.6416040857632955, acc 0.82164, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task fnt, loss 0.68551736589401, acc 0.75911, f1 0.00217, p 0.31250, r 0.00109
Iter 1500, task hyperlinks, loss 0.6363158424695333, acc 0.82206, f1 0.00973, p 0.66667, r 0.00490
Iter 1600, task fnt, loss 0.6787559380454402, acc 0.75927, f1 0.00347, p 0.38095, r 0.00174
Iter 1600, task hyperlinks, loss 0.6295028130213419, acc 0.82206, f1 0.00973, p 0.66667, r 0.00490
Iter 1700, task fnt, loss 0.6741739771058483, acc 0.75927, f1 0.00347, p 0.38095, r 0.00174
Iter 1700, task hyperlinks, loss 0.6247601707776388, acc 0.82375, f1 0.03357, p 0.77778, r 0.01716
Iter 1800, task fnt, loss 0.6680740243004214, acc 0.75917, f1 0.00606, p 0.41176, r 0.00305
Iter 1800, task hyperlinks, loss 0.6175145308176676, acc 0.82249, f1 0.01456, p 0.75000, r 0.00735
Iter 1900, task fnt, loss 0.6639645762981907, acc 0.75932, f1 0.00606, p 0.45161, r 0.00305
Iter 1900, task hyperlinks, loss 0.6130661765734354, acc 0.82375, f1 0.03365, p 0.87500, r 0.01716
Iter 2000, task fnt, loss 0.6528449270033068, acc 0.75906, f1 0.01712, p 0.45455, r 0.00872
Iter 2000, task hyperlinks, loss 0.6102920770645142, acc 0.82375, f1 0.04296, p 0.81818, r 0.02206
Iter 2100, task fnt, loss 0.6501912628450701, acc 0.75963, f1 0.01672, p 0.50000, r 0.00850
Iter 2100, task hyperlinks, loss 0.6076965729395548, acc 0.82587, f1 0.08353, p 0.78261, r 0.04412
Iter 2200, task fnt, loss 0.6412838476319467, acc 0.75917, f1 0.03081, p 0.48026, r 0.01592
Iter 2200, task hyperlinks, loss 0.6022932132085165, acc 0.82502, f1 0.07026, p 0.78947, r 0.03676
Iter 2300, task fnt, loss 0.6371269899029885, acc 0.75958, f1 0.03450, p 0.49102, r 0.01788
Iter 2300, task hyperlinks, loss 0.5998520453770956, acc 0.82798, f1 0.11364, p 0.78125, r 0.06127
Iter 2400, task fnt, loss 0.6325599570428172, acc 0.75968, f1 0.04099, p 0.50000, r 0.02137
Iter 2400, task hyperlinks, loss 0.5955860614776611, acc 0.82840, f1 0.10138, p 0.84615, r 0.05392
Iter 2500, task fnt, loss 0.6243634175869727, acc 0.76123, f1 0.07695, p 0.53977, r 0.04143
Iter 2500, task hyperlinks, loss 0.5927502512931824, acc 0.83009, f1 0.12698, p 0.84848, r 0.06863
Iter 2600, task fnt, loss 0.6235398948192596, acc 0.76045, f1 0.05259, p 0.52049, r 0.02769
Iter 2600, task hyperlinks, loss 0.591049591700236, acc 0.83052, f1 0.13870, p 0.79487, r 0.07598
Iter 2700, task fnt, loss 0.616908666587645, acc 0.76236, f1 0.08620, p 0.56464, r 0.04666
Iter 2700, task hyperlinks, loss 0.5863927801450094, acc 0.83052, f1 0.12698, p 0.84848, r 0.06863
Iter 2800, task fnt, loss 0.619780191490727, acc 0.76087, f1 0.05027, p 0.53070, r 0.02638
Iter 2800, task hyperlinks, loss 0.5845324198404948, acc 0.83094, f1 0.14667, p 0.78571, r 0.08088
Iter 2900, task fnt, loss 0.614660152504521, acc 0.76148, f1 0.06516, p 0.54082, r 0.03467
Iter 2900, task hyperlinks, loss 0.5814454555511475, acc 0.83009, f1 0.14978, p 0.73913, r 0.08333
Iter 3000, task fnt, loss 0.6080153055729405, acc 0.76344, f1 0.09300, p 0.57568, r 0.05059
Iter 3000, task hyperlinks, loss 0.5794930656750997, acc 0.83178, f1 0.16594, p 0.76000, r 0.09314
Iter 3100, task fnt, loss 0.6030386695938725, acc 0.76478, f1 0.11350, p 0.58896, r 0.06280
Iter 3100, task hyperlinks, loss 0.5765020052591959, acc 0.83178, f1 0.16228, p 0.77083, r 0.09069
Iter 3200, task fnt, loss 0.5979112329021576, acc 0.76493, f1 0.13171, p 0.57601, r 0.07436
Iter 3200, task hyperlinks, loss 0.5761521458625793, acc 0.83347, f1 0.19231, p 0.75000, r 0.11029
Iter 3300, task fnt, loss 0.5953348134794543, acc 0.76529, f1 0.13176, p 0.57797, r 0.07436
Iter 3300, task hyperlinks, loss 0.5726932187875112, acc 0.83559, f1 0.20426, p 0.77419, r 0.11765
Iter 3400, task fnt, loss 0.5945979827834714, acc 0.76524, f1 0.12258, p 0.58473, r 0.06847
