Iter 100, task fnt, loss 1.644988036924793, acc 0.56653, f1 0.00000, p 0.00000, r 0.00000
Iter 100, task mwe, loss 1.5584126154581706, acc 0.73141, f1 0.00356, p 0.18182, r 0.00180
Iter 200, task fnt, loss 1.3144301252980386, acc 0.75062, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task mwe, loss 1.2811743815739949, acc 0.82287, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task fnt, loss 1.2149362352586561, acc 0.75587, f1 0.00044, p 0.20000, r 0.00022
Iter 300, task mwe, loss 1.2177796443303426, acc 0.82669, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task fnt, loss 1.175429351868168, acc 0.75695, f1 0.00043, p 0.07692, r 0.00022
Iter 400, task mwe, loss 1.1798718293507895, acc 0.82730, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task fnt, loss 1.1493971347808838, acc 0.75778, f1 0.00130, p 0.18750, r 0.00065
Iter 500, task mwe, loss 1.1524949232737223, acc 0.82684, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task fnt, loss 1.1258062085797709, acc 0.75850, f1 0.00043, p 0.05882, r 0.00022
Iter 600, task mwe, loss 1.128772747516632, acc 0.82623, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task fnt, loss 1.113533123846977, acc 0.75886, f1 0.00043, p 0.05556, r 0.00022
Iter 700, task mwe, loss 1.105903426806132, acc 0.82547, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task fnt, loss 1.096341896441675, acc 0.75922, f1 0.00087, p 0.12500, r 0.00044
Iter 800, task mwe, loss 1.0891764124234518, acc 0.82455, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task fnt, loss 1.0804642054342455, acc 0.75937, f1 0.00044, p 0.11111, r 0.00022
Iter 900, task mwe, loss 1.076580536365509, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task fnt, loss 1.0688352930930354, acc 0.75937, f1 0.00044, p 0.16667, r 0.00022
Iter 1000, task mwe, loss 1.0647388418515524, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task fnt, loss 1.0569352219181676, acc 0.75922, f1 0.00044, p 0.12500, r 0.00022
Iter 1100, task mwe, loss 1.0532612840334574, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task fnt, loss 1.0473339653784228, acc 0.75917, f1 0.00131, p 0.27273, r 0.00065
Iter 1200, task mwe, loss 1.042695701122284, acc 0.82119, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task fnt, loss 1.0332789459536154, acc 0.75906, f1 0.00391, p 0.39130, r 0.00196
Iter 1300, task mwe, loss 1.0339804490407307, acc 0.82104, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task fnt, loss 1.0243599068733953, acc 0.75875, f1 0.00434, p 0.41667, r 0.00218
Iter 1400, task mwe, loss 1.0274070620536804, acc 0.82135, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task fnt, loss 1.0167132096905862, acc 0.75850, f1 0.00390, p 0.37500, r 0.00196
Iter 1500, task mwe, loss 1.0182395935058595, acc 0.82135, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task fnt, loss 1.010745023527453, acc 0.75850, f1 0.00477, p 0.42308, r 0.00240
Iter 1600, task mwe, loss 1.0110490481058756, acc 0.82150, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task fnt, loss 1.0038004229145665, acc 0.75844, f1 0.00735, p 0.45946, r 0.00371
Iter 1700, task mwe, loss 1.0048059066136679, acc 0.82165, f1 0.00000, p 0.00000, r 0.00000
Iter 1800, task fnt, loss 0.9982643761942464, acc 0.75901, f1 0.00950, p 0.50000, r 0.00480
Iter 1800, task mwe, loss 0.9980737765630087, acc 0.82196, f1 0.00000, p 0.00000, r 0.00000
Iter 1900, task fnt, loss 0.9879514690368406, acc 0.75927, f1 0.01927, p 0.53571, r 0.00981
Iter 1900, task mwe, loss 0.9934034705162048, acc 0.82226, f1 0.00000, p 0.00000, r 0.00000
Iter 2000, task fnt, loss 0.9847781235171903, acc 0.75958, f1 0.01717, p 0.54795, r 0.00872
Iter 2000, task mwe, loss 0.9877869089444479, acc 0.82211, f1 0.00000, p 0.00000, r 0.00000
Iter 2100, task fnt, loss 0.9743128130512853, acc 0.76061, f1 0.03960, p 0.58385, r 0.02050
Iter 2100, task mwe, loss 0.9826990524927776, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 2200, task fnt, loss 0.9726254613168778, acc 0.76061, f1 0.03470, p 0.58571, r 0.01788
Iter 2200, task mwe, loss 0.9774122834205627, acc 0.82211, f1 0.00000, p 0.00000, r 0.00000
Iter 2300, task fnt, loss 0.9654918486072172, acc 0.76123, f1 0.05129, p 0.58571, r 0.02682
Iter 2300, task mwe, loss 0.9723840912183126, acc 0.82257, f1 0.00000, p 0.00000, r 0.00000
Iter 2400, task fnt, loss 0.9603058657338542, acc 0.76128, f1 0.06028, p 0.56589, r 0.03184
Iter 2400, task mwe, loss 0.9658550063769022, acc 0.82272, f1 0.00000, p 0.00000, r 0.00000
Iter 2500, task fnt, loss 0.9565100708315449, acc 0.76159, f1 0.06878, p 0.56187, r 0.03663
Iter 2500, task mwe, loss 0.9597359538078308, acc 0.82272, f1 0.00000, p 0.00000, r 0.00000
Iter 2600, task fnt, loss 0.9512864908864421, acc 0.76179, f1 0.07938, p 0.55682, r 0.04274
Iter 2600, task mwe, loss 0.9550861358642578, acc 0.82287, f1 0.00000, p 0.00000, r 0.00000
Iter 2700, task fnt, loss 0.9448388026606652, acc 0.76287, f1 0.10655, p 0.56017, r 0.05887
Iter 2700, task mwe, loss 0.9503307859102885, acc 0.82287, f1 0.00000, p 0.00000, r 0.00000
Iter 2800, task fnt, loss 0.9421848558610485, acc 0.76313, f1 0.10416, p 0.56681, r 0.05735
Iter 2800, task mwe, loss 0.9453905622164408, acc 0.82287, f1 0.00000, p 0.00000, r 0.00000
Iter 2900, task fnt, loss 0.9374182935683958, acc 0.76380, f1 0.11973, p 0.56642, r 0.06694
Iter 2900, task mwe, loss 0.9412472724914551, acc 0.82287, f1 0.00000, p 0.00000, r 0.00000
Iter 3000, task fnt, loss 0.9328929647322624, acc 0.76514, f1 0.13518, p 0.57825, r 0.07654
Iter 3000, task mwe, loss 0.936794638633728, acc 0.82303, f1 0.00000, p 0.00000, r 0.00000
Iter 3100, task fnt, loss 0.926815354054974, acc 0.76576, f1 0.16577, p 0.56833, r 0.09703
Iter 3100, task mwe, loss 0.9310786883036296, acc 0.82303, f1 0.00000, p 0.00000, r 0.00000
Iter 3200, task fnt, loss 0.9240882665880265, acc 0.76581, f1 0.16202, p 0.57049, r 0.09442
Iter 3200, task mwe, loss 0.9259605526924133, acc 0.82303, f1 0.00000, p 0.00000, r 0.00000
Iter 3300, task fnt, loss 0.92367878460115, acc 0.76591, f1 0.14850, p 0.57500, r 0.08526
Iter 3300, task mwe, loss 0.9211857914924622, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3400, task fnt, loss 0.9151618442227764, acc 0.76715, f1 0.19337, p 0.56990, r 0.11644
Iter 3400, task mwe, loss 0.9167547901471456, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3500, task fnt, loss 0.9140947095809444, acc 0.76746, f1 0.17701, p 0.57990, r 0.10445
Iter 3500, task mwe, loss 0.9122616132100423, acc 0.82348, f1 0.00000, p 0.00000, r 0.00000
Iter 3600, task fnt, loss 0.9098307701849169, acc 0.76818, f1 0.19214, p 0.58022, r 0.11513
Iter 3600, task mwe, loss 0.9073646148045857, acc 0.82348, f1 0.00000, p 0.00000, r 0.00000
Iter 3700, task fnt, loss 0.9041812458345967, acc 0.76926, f1 0.21659, p 0.57860, r 0.13323
Iter 3700, task mwe, loss 0.9035253445307414, acc 0.82364, f1 0.00000, p 0.00000, r 0.00000
Iter 3800, task fnt, loss 0.8999165488827613, acc 0.76972, f1 0.23350, p 0.57436, r 0.14653
Iter 3800, task mwe, loss 0.8981953899065653, acc 0.82364, f1 0.00000, p 0.00000, r 0.00000
Iter 3900, task fnt, loss 0.9013794256794837, acc 0.76905, f1 0.19695, p 0.58513, r 0.11840
Iter 3900, task mwe, loss 0.8942044218381245, acc 0.82364, f1 0.00000, p 0.00000, r 0.00000
Iter 4000, task fnt, loss 0.895338689127276, acc 0.77003, f1 0.22010, p 0.58349, r 0.13563
Iter 4000, task mwe, loss 0.8894708077112834, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 4100, task fnt, loss 0.8932859493840125, acc 0.77049, f1 0.21923, p 0.58745, r 0.13476
Iter 4100, task mwe, loss 0.885161038239797, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 4200, task fnt, loss 0.8901379243020089, acc 0.77127, f1 0.22297, p 0.59155, r 0.13737
Iter 4200, task mwe, loss 0.8801414410273234, acc 0.82410, f1 0.00179, p 0.50000, r 0.00090
Iter 4300, task fnt, loss 0.8817583880116863, acc 0.77364, f1 0.27595, p 0.58516, r 0.18055
Iter 4300, task mwe, loss 0.8775388399759928, acc 0.82425, f1 0.00000, p 0.00000, r 0.00000
Iter 4400, task fnt, loss 0.8783284656463131, acc 0.77384, f1 0.27464, p 0.58714, r 0.17924
Iter 4400, task mwe, loss 0.8719635327657064, acc 0.82471, f1 0.00358, p 0.66667, r 0.00180
Iter 4500, task fnt, loss 0.878584288781689, acc 0.77297, f1 0.24667, p 0.59352, r 0.15569
Iter 4500, task mwe, loss 0.8673713604609171, acc 0.82471, f1 0.00358, p 0.66667, r 0.00180
Iter 4600, task fnt, loss 0.8748892872564255, acc 0.77400, f1 0.25736, p 0.59777, r 0.16398
Iter 4600, task mwe, loss 0.8637441396713257, acc 0.82486, f1 0.00358, p 0.66667, r 0.00180
Iter 4700, task fnt, loss 0.8707688912268607, acc 0.77533, f1 0.27320, p 0.60030, r 0.17684
Iter 4700, task mwe, loss 0.8595492800076803, acc 0.82486, f1 0.00358, p 0.66667, r 0.00180
Iter 4800, task fnt, loss 0.8673058171426097, acc 0.77564, f1 0.27461, p 0.60133, r 0.17793
Iter 4800, task mwe, loss 0.857037623723348, acc 0.82486, f1 0.00179, p 0.50000, r 0.00090
