Iter 100, task gpos, loss 2.693954610824585, acc 0.21377, f1 0.21483, p 0.21589, r 0.21377
Iter 200, task gpos, loss 2.573052008946737, acc 0.30242, f1 0.30302, p 0.30362, r 0.30242
Iter 300, task gpos, loss 2.4855031967163086, acc 0.32908, f1 0.33393, p 0.33892, r 0.32908
Iter 400, task gpos, loss 2.4126482327779133, acc 0.34916, f1 0.36021, p 0.37200, r 0.34916
Iter 500, task gpos, loss 2.347322130203247, acc 0.37231, f1 0.38691, p 0.40269, r 0.37231
Iter 600, task gpos, loss 2.287238677342733, acc 0.40234, f1 0.41850, p 0.43601, r 0.40234
Iter 700, task gpos, loss 2.2315626621246336, acc 0.43985, f1 0.45602, p 0.47343, r 0.43985
Iter 800, task gpos, loss 2.179319397608439, acc 0.48000, f1 0.49678, p 0.51477, r 0.48000
Iter 900, task gpos, loss 2.130067300796509, acc 0.50857, f1 0.52527, p 0.54311, r 0.50857
Iter 1000, task gpos, loss 2.084359852472941, acc 0.53509, f1 0.55133, p 0.56858, r 0.53509
Iter 1100, task gpos, loss 2.040013829867045, acc 0.55839, f1 0.57442, p 0.59140, r 0.55839
Iter 1200, task gpos, loss 1.9981987953186036, acc 0.57626, f1 0.59098, p 0.60648, r 0.57626
Iter 1300, task gpos, loss 1.958865261077881, acc 0.59399, f1 0.60743, p 0.62149, r 0.59399
Iter 1400, task gpos, loss 1.9211281538009644, acc 0.61304, f1 0.62359, p 0.63452, r 0.61304
Iter 1500, task gpos, loss 1.885356346766154, acc 0.62901, f1 0.63742, p 0.64605, r 0.62901
Iter 1600, task gpos, loss 1.85186501344045, acc 0.64000, f1 0.64754, p 0.65527, r 0.64000
Iter 1700, task gpos, loss 1.820058266321818, acc 0.64864, f1 0.65532, p 0.66213, r 0.64864
Iter 1800, task gpos, loss 1.7902092297871908, acc 0.65949, f1 0.66475, p 0.67009, r 0.65949
Iter 1900, task gpos, loss 1.7618309338887532, acc 0.66637, f1 0.67109, p 0.67588, r 0.66637
Iter 2000, task gpos, loss 1.734870195388794, acc 0.67560, f1 0.68004, p 0.68453, r 0.67560
Iter 2100, task gpos, loss 1.7094342947006225, acc 0.68791, f1 0.69176, p 0.69566, r 0.68791
Iter 2200, task gpos, loss 1.6845696687698364, acc 0.69377, f1 0.69761, p 0.70148, r 0.69377
Iter 2300, task gpos, loss 1.6606662829717, acc 0.69890, f1 0.70240, p 0.70593, r 0.69890
Iter 2400, task gpos, loss 1.6377227703730266, acc 0.70725, f1 0.71053, p 0.71384, r 0.70725
Iter 2500, task gpos, loss 1.6160169919331868, acc 0.71487, f1 0.71813, p 0.72143, r 0.71487
Iter 2600, task gpos, loss 1.5947982549667359, acc 0.72645, f1 0.72955, p 0.73267, r 0.72645
Iter 2700, task gpos, loss 1.574254830678304, acc 0.73084, f1 0.73396, p 0.73711, r 0.73084
Iter 2800, task gpos, loss 1.5543816804885864, acc 0.73509, f1 0.73823, p 0.74139, r 0.73509
Iter 2900, task gpos, loss 1.5352239688237508, acc 0.73890, f1 0.74189, p 0.74490, r 0.73890
Iter 3000, task gpos, loss 1.516335940361023, acc 0.74242, f1 0.74515, p 0.74790, r 0.74242
Iter 3100, task gpos, loss 1.4983073631922403, acc 0.74930, f1 0.75206, p 0.75483, r 0.74930
Iter 3200, task gpos, loss 1.4811352968215943, acc 0.75048, f1 0.75324, p 0.75601, r 0.75048
Iter 3300, task gpos, loss 1.463713574409485, acc 0.75912, f1 0.76180, p 0.76450, r 0.75912
Iter 3400, task gpos, loss 1.4467279275258382, acc 0.76249, f1 0.76507, p 0.76766, r 0.76249
Iter 3500, task gpos, loss 1.430394180615743, acc 0.76659, f1 0.76913, p 0.77168, r 0.76659
Iter 3600, task gpos, loss 1.4140263319015502, acc 0.76908, f1 0.77157, p 0.77407, r 0.76908
Iter 3700, task gpos, loss 1.3984359979629517, acc 0.77275, f1 0.77508, p 0.77742, r 0.77275
Iter 3800, task gpos, loss 1.3827633221944173, acc 0.77656, f1 0.77884, p 0.78113, r 0.77656
Iter 3900, task gpos, loss 1.3675964991251628, acc 0.77905, f1 0.78128, p 0.78352, r 0.77905
Iter 4000, task gpos, loss 1.3527520338694254, acc 0.78081, f1 0.78299, p 0.78518, r 0.78081
Iter 4100, task gpos, loss 1.3377535422643025, acc 0.78476, f1 0.78678, p 0.78881, r 0.78476
Iter 4200, task gpos, loss 1.322903315226237, acc 0.78725, f1 0.78916, p 0.79108, r 0.78725
Iter 4300, task gpos, loss 1.3086314837137858, acc 0.78930, f1 0.79122, p 0.79314, r 0.78930
Iter 4400, task gpos, loss 1.2943538665771483, acc 0.79179, f1 0.79366, p 0.79552, r 0.79179
Iter 4500, task gpos, loss 1.2808007796605427, acc 0.79399, f1 0.79580, p 0.79762, r 0.79399
Iter 4600, task gpos, loss 1.2663021405537924, acc 0.79487, f1 0.79668, p 0.79850, r 0.79487
Iter 4700, task gpos, loss 1.2527205308278402, acc 0.79766, f1 0.79947, p 0.80130, r 0.79766
Iter 4800, task gpos, loss 1.239175510406494, acc 0.79985, f1 0.80167, p 0.80350, r 0.79985
Iter 4900, task gpos, loss 1.2255423386891684, acc 0.80484, f1 0.80661, p 0.80839, r 0.80484
Iter 5000, task gpos, loss 1.2121158599853517, acc 0.80571, f1 0.80749, p 0.80927, r 0.80571
Iter 5100, task gpos, loss 1.1985756556193035, acc 0.80689, f1 0.80866, p 0.81045, r 0.80689
Iter 5200, task gpos, loss 1.1850953976313272, acc 0.80777, f1 0.80949, p 0.81121, r 0.80777
Iter 5300, task gpos, loss 1.172604544957479, acc 0.80923, f1 0.81095, p 0.81268, r 0.80923
Iter 5400, task gpos, loss 1.1592506170272827, acc 0.81187, f1 0.81354, p 0.81521, r 0.81187
Iter 5500, task gpos, loss 1.1459057887395223, acc 0.81275, f1 0.81442, p 0.81610, r 0.81275
