Iter 10, task gpos, loss 2.8558127880096436
Iter 20, task gpos, loss 2.833087921142578
Iter 30, task gpos, loss 2.8171744346618652
Iter 40, task gpos, loss 2.798248767852783
Iter 50, task gpos, loss 2.7818989753723145
Iter 60, task gpos, loss 2.7673676013946533
Iter 70, task gpos, loss 2.7547719478607178
Iter 80, task gpos, loss 2.729140043258667
Iter 90, task gpos, loss 2.7225396633148193
Iter 100, task gpos, loss 2.7018840312957764
Iter 110, task gpos, loss 2.679068088531494
Iter 120, task gpos, loss 2.6786136627197266
Iter 130, task gpos, loss 2.667304515838623
Iter 140, task gpos, loss 2.646674871444702
Iter 150, task gpos, loss 2.622931718826294
Iter 160, task gpos, loss 2.63053297996521
Iter 170, task gpos, loss 2.589874744415283
Iter 180, task gpos, loss 2.5940310955047607
Iter 190, task gpos, loss 2.5754542350769043
Iter 200, task gpos, loss 2.5711891651153564
Iter 210, task gpos, loss 2.555398464202881
Iter 220, task gpos, loss 2.5504496097564697
Iter 230, task gpos, loss 2.5298092365264893
Iter 240, task gpos, loss 2.5309877395629883
Iter 250, task gpos, loss 2.5316240787506104
Iter 260, task gpos, loss 2.5322537422180176
Iter 270, task gpos, loss 2.4946701526641846
Iter 280, task gpos, loss 2.488670825958252
Iter 290, task gpos, loss 2.486417293548584
Iter 300, task gpos, loss 2.4674060344696045
Iter 310, task gpos, loss 2.453592300415039
Iter 320, task gpos, loss 2.459979295730591
Iter 330, task gpos, loss 2.454322099685669
Iter 340, task gpos, loss 2.4710874557495117
Iter 350, task gpos, loss 2.450507164001465
Iter 360, task gpos, loss 2.4339141845703125
Iter 370, task gpos, loss 2.4142680168151855
Iter 380, task gpos, loss 2.426575183868408
Iter 390, task gpos, loss 2.391538619995117
Iter 400, task gpos, loss 2.4039344787597656
Iter 410, task gpos, loss 2.4299418926239014
Iter 420, task gpos, loss 2.3874940872192383
Iter 430, task gpos, loss 2.3726019859313965
Iter 440, task gpos, loss 2.3532614707946777
Iter 450, task gpos, loss 2.3967349529266357
Iter 460, task gpos, loss 2.3424556255340576
Iter 470, task gpos, loss 2.3712470531463623
Iter 480, task gpos, loss 2.3549067974090576
Iter 490, task gpos, loss 2.3428730964660645
Iter 500, task gpos, loss 2.352451801300049
Iter 510, task gpos, loss 2.3437304496765137
