Iter 100, task gpos, loss 2.809888458251953, acc 0.09773, f1 0.09775, p 0.09777, r 0.09773
Iter 100, task hyperlinks, loss 1.359989603360494, acc 0.78318, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task gpos, loss 2.694287141164144, acc 0.16498, f1 0.16499, p 0.16501, r 0.16498
Iter 200, task hyperlinks, loss 0.9820226232210795, acc 0.82713, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task gpos, loss 2.604729906717936, acc 0.25626, f1 0.25636, p 0.25645, r 0.25626
Iter 300, task hyperlinks, loss 0.8671021064122518, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task gpos, loss 2.5495601336161298, acc 0.29890, f1 0.29945, p 0.30000, r 0.29890
Iter 400, task hyperlinks, loss 0.8167890906333923, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task gpos, loss 2.5187828063964846, acc 0.31092, f1 0.31293, p 0.31498, r 0.31092
Iter 500, task hyperlinks, loss 0.7752191424369812, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task gpos, loss 2.482204039891561, acc 0.31897, f1 0.32636, p 0.33410, r 0.31897
Iter 600, task hyperlinks, loss 0.7529444098472595, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task gpos, loss 2.453843275705973, acc 0.32542, f1 0.33626, p 0.34785, r 0.32542
Iter 700, task hyperlinks, loss 0.7326048612594604, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task gpos, loss 2.4240426222483316, acc 0.32908, f1 0.34337, p 0.35896, r 0.32908
Iter 800, task hyperlinks, loss 0.7182325522104899, acc 0.82756, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task gpos, loss 2.3922980785369874, acc 0.33861, f1 0.35464, p 0.37226, r 0.33861
Iter 900, task hyperlinks, loss 0.7065362731615702, acc 0.82418, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task gpos, loss 2.364439042409261, acc 0.34564, f1 0.36290, p 0.38196, r 0.34564
Iter 1000, task hyperlinks, loss 0.6933453877766927, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task gpos, loss 2.3386653741200765, acc 0.35839, f1 0.37608, p 0.39560, r 0.35839
Iter 1100, task hyperlinks, loss 0.683834989865621, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task gpos, loss 2.308344825108846, acc 0.37333, f1 0.39185, p 0.41230, r 0.37333
Iter 1200, task hyperlinks, loss 0.6756598750750223, acc 0.82333, f1 0.00489, p 1.00000, r 0.00245
Iter 1300, task gpos, loss 2.283517042795817, acc 0.38667, f1 0.40559, p 0.42647, r 0.38667
Iter 1300, task hyperlinks, loss 0.6702618400255839, acc 0.82333, f1 0.02878, p 0.66667, r 0.01471
Iter 1400, task gpos, loss 2.262159808476766, acc 0.39678, f1 0.41594, p 0.43706, r 0.39678
Iter 1400, task hyperlinks, loss 0.6606476108233134, acc 0.82249, f1 0.02864, p 0.54545, r 0.01471
Iter 1500, task gpos, loss 2.2403472423553468, acc 0.41685, f1 0.43679, p 0.45872, r 0.41685
Iter 1500, task hyperlinks, loss 0.6528951128323873, acc 0.82291, f1 0.03800, p 0.61538, r 0.01961
Iter 1600, task gpos, loss 2.2193728764851888, acc 0.44000, f1 0.46034, p 0.48264, r 0.44000
Iter 1600, task hyperlinks, loss 0.6490037043889364, acc 0.82587, f1 0.07442, p 0.72727, r 0.03922
Iter 1700, task gpos, loss 2.18941019376119, acc 0.45714, f1 0.47688, p 0.49840, r 0.45714
Iter 1700, task hyperlinks, loss 0.6436569690704346, acc 0.82629, f1 0.07889, p 0.73913, r 0.04167
Iter 1800, task gpos, loss 2.1674596468607583, acc 0.47487, f1 0.49488, p 0.51666, r 0.47487
