Iter 100, task keysem17, loss 1.224111557006836, acc 0.70960, f1 0.19038, p 0.34453, r 0.13153
Iter 100, task gpos, loss 2.8236694653828938, acc 0.16513, f1 0.17457, p 0.18515, r 0.16513
Iter 200, task keysem17, loss 0.9809817026058832, acc 0.74286, f1 0.04858, p 0.46154, r 0.02564
Iter 200, task gpos, loss 2.757544692357381, acc 0.22300, f1 0.23457, p 0.24740, r 0.22300
Iter 300, task keysem17, loss 0.888218974073728, acc 0.74891, f1 0.07993, p 0.61644, r 0.04274
Iter 300, task gpos, loss 2.7068488438924154, acc 0.26491, f1 0.27890, p 0.29446, r 0.26491
Iter 400, task keysem17, loss 0.8397100865840912, acc 0.76004, f1 0.19952, p 0.66757, r 0.11728
Iter 400, task gpos, loss 2.6639552116394043, acc 0.28396, f1 0.30021, p 0.31844, r 0.28396
Iter 500, task keysem17, loss 0.796745146314303, acc 0.77746, f1 0.36092, p 0.67403, r 0.24644
Iter 500, task gpos, loss 2.6335410594940187, acc 0.29612, f1 0.31384, p 0.33383, r 0.29612
Iter 600, task keysem17, loss 0.7651070207357407, acc 0.78447, f1 0.43077, p 0.66272, r 0.31909
Iter 600, task gpos, loss 2.6005985260009767, acc 0.31033, f1 0.32932, p 0.35078, r 0.31033
Iter 700, task keysem17, loss 0.7465907533963522, acc 0.79003, f1 0.47838, p 0.65862, r 0.37559
Iter 700, task gpos, loss 2.5585397561391194, acc 0.32513, f1 0.34569, p 0.36903, r 0.32513
Iter 800, task keysem17, loss 0.725105474392573, acc 0.78858, f1 0.47787, p 0.66107, r 0.37417
Iter 800, task gpos, loss 2.5237223784128826, acc 0.33304, f1 0.35457, p 0.37909, r 0.33304
Iter 900, task keysem17, loss 0.7086444546778997, acc 0.80467, f1 0.59649, p 0.64204, r 0.55698
Iter 900, task gpos, loss 2.4990819931030273, acc 0.34095, f1 0.36328, p 0.38874, r 0.34095
Iter 1000, task keysem17, loss 0.6880894352992376, acc 0.80745, f1 0.59861, p 0.65283, r 0.55271
Iter 1000, task gpos, loss 2.471990156173706, acc 0.35429, f1 0.37731, p 0.40354, r 0.35429
Iter 1100, task keysem17, loss 0.6695751498142878, acc 0.80975, f1 0.60350, p 0.65917, r 0.55651
Iter 1100, task gpos, loss 2.449190394083659, acc 0.37084, f1 0.39442, p 0.42120, r 0.37084
Iter 1200, task keysem17, loss 0.6565538694461187, acc 0.81531, f1 0.62036, p 0.66831, r 0.57882
Iter 1200, task gpos, loss 2.42308882077535, acc 0.38711, f1 0.41085, p 0.43771, r 0.38711
Iter 1300, task keysem17, loss 0.649309421579043, acc 0.81580, f1 0.64419, p 0.64884, r 0.63960
Iter 1300, task gpos, loss 2.3977677822113037, acc 0.40000, f1 0.42352, p 0.44998, r 0.40000
Iter 1400, task keysem17, loss 0.6323824475208918, acc 0.81761, f1 0.61691, p 0.68200, r 0.56315
Iter 1400, task gpos, loss 2.373131434122721, acc 0.42520, f1 0.44905, p 0.47574, r 0.42520
Iter 1500, task keysem17, loss 0.625230630238851, acc 0.81930, f1 0.63385, p 0.67271, r 0.59924
Iter 1500, task gpos, loss 2.346658786137899, acc 0.43634, f1 0.45943, p 0.48510, r 0.43634
Iter 1600, task keysem17, loss 0.6204111129045486, acc 0.82160, f1 0.64995, p 0.66683, r 0.63390
Iter 1600, task gpos, loss 2.319020175933838, acc 0.45744, f1 0.47968, p 0.50420, r 0.45744
Iter 1700, task keysem17, loss 0.6107681840658188, acc 0.82160, f1 0.63431, p 0.68234, r 0.59259
Iter 1700, task gpos, loss 2.2924763679504396, acc 0.47458, f1 0.49693, p 0.52149, r 0.47458
Iter 1800, task keysem17, loss 0.608639786640803, acc 0.82305, f1 0.65966, p 0.66362, r 0.65575
Iter 1800, task gpos, loss 2.2675284226735433, acc 0.48542, f1 0.50673, p 0.53000, r 0.48542
Iter 1900, task keysem17, loss 0.5979115863641103, acc 0.82523, f1 0.64555, p 0.68590, r 0.60969
Iter 1900, task gpos, loss 2.244368632634481, acc 0.50125, f1 0.52189, p 0.54431, r 0.50125
Iter 2000, task keysem17, loss 0.5955768326918284, acc 0.82644, f1 0.66651, p 0.66970, r 0.66334
Iter 2000, task gpos, loss 2.223906628290812, acc 0.51194, f1 0.53165, p 0.55294, r 0.51194
Iter 2100, task keysem17, loss 0.5869237979253134, acc 0.82716, f1 0.65817, p 0.68053, r 0.63723
Iter 2100, task gpos, loss 2.2039763768514, acc 0.52293, f1 0.54187, p 0.56222, r 0.52293
Iter 2200, task keysem17, loss 0.5827224453290304, acc 0.82970, f1 0.66667, p 0.68259, r 0.65147
Iter 2200, task gpos, loss 2.183754396438599, acc 0.53319, f1 0.55157, p 0.57127, r 0.53319
Iter 2300, task keysem17, loss 0.5759732027848562, acc 0.83104, f1 0.66203, p 0.69391, r 0.63295
Iter 2300, task gpos, loss 2.1621939023335774, acc 0.54462, f1 0.56186, p 0.58024, r 0.54462
Iter 2400, task keysem17, loss 0.5761808454990387, acc 0.83140, f1 0.67819, p 0.67643, r 0.67996
Iter 2400, task gpos, loss 2.1407005310058596, acc 0.56234, f1 0.57880, p 0.59624, r 0.56234
Iter 2500, task keysem17, loss 0.5775633553663889, acc 0.83007, f1 0.69061, p 0.65848, r 0.72602
Iter 2500, task gpos, loss 2.1202632586161294, acc 0.57201, f1 0.58751, p 0.60387, r 0.57201
Iter 2600, task keysem17, loss 0.565589596827825, acc 0.83285, f1 0.67025, p 0.69068, r 0.65100
Iter 2600, task gpos, loss 2.100298261642456, acc 0.58066, f1 0.59513, p 0.61035, r 0.58066
Iter 2700, task keysem17, loss 0.5614995385209719, acc 0.83515, f1 0.67829, p 0.69238, r 0.66477
Iter 2700, task gpos, loss 2.0828347841898602, acc 0.59033, f1 0.60341, p 0.61709, r 0.59033
Iter 2800, task keysem17, loss 0.5579830581943194, acc 0.83672, f1 0.68089, p 0.69574, r 0.66667
Iter 2800, task gpos, loss 2.062753923734029, acc 0.60117, f1 0.61294, p 0.62517, r 0.60117
Iter 2900, task keysem17, loss 0.5576851963996887, acc 0.83515, f1 0.69115, p 0.67683, r 0.70608
Iter 2900, task gpos, loss 2.046854345003764, acc 0.60938, f1 0.62061, p 0.63226, r 0.60938
Iter 3000, task keysem17, loss 0.549851136902968, acc 0.83575, f1 0.67941, p 0.69265, r 0.66667
Iter 3000, task gpos, loss 2.0333520571390786, acc 0.61656, f1 0.62661, p 0.63700, r 0.61656
Iter 3100, task keysem17, loss 0.5566645214955012, acc 0.83442, f1 0.69966, p 0.66481, r 0.73837
Iter 3100, task gpos, loss 2.0115934451421102, acc 0.62212, f1 0.63152, p 0.64120, r 0.62212
Iter 3200, task keysem17, loss 0.5486087426543236, acc 0.83817, f1 0.69743, p 0.68147, r 0.71415
Iter 3200, task gpos, loss 1.993276596069336, acc 0.63223, f1 0.64087, p 0.64975, r 0.63223
Iter 3300, task keysem17, loss 0.5431725879510244, acc 0.83841, f1 0.69247, p 0.68841, r 0.69658
Iter 3300, task gpos, loss 1.9778835852940877, acc 0.63751, f1 0.64541, p 0.65350, r 0.63751
Iter 3400, task keysem17, loss 0.5360974023739496, acc 0.84011, f1 0.67669, p 0.71656, r 0.64103
Iter 3400, task gpos, loss 1.960929528872172, acc 0.64689, f1 0.65364, p 0.66053, r 0.64689
Iter 3500, task keysem17, loss 0.5340773885448774, acc 0.84192, f1 0.68848, p 0.70854, r 0.66952
Iter 3500, task gpos, loss 1.9470666567484538, acc 0.64864, f1 0.65517, p 0.66183, r 0.64864
Iter 3600, task keysem17, loss 0.5330441246430079, acc 0.84156, f1 0.69555, p 0.69737, r 0.69373
Iter 3600, task gpos, loss 1.9323129574457805, acc 0.65289, f1 0.65849, p 0.66418, r 0.65289
Iter 3700, task keysem17, loss 0.5326736917098364, acc 0.84265, f1 0.70341, p 0.69210, r 0.71510
Iter 3700, task gpos, loss 1.9187418222427368, acc 0.65495, f1 0.66036, p 0.66587, r 0.65495
Iter 3800, task keysem17, loss 0.529291957616806, acc 0.84192, f1 0.69974, p 0.69306, r 0.70655
Iter 3800, task gpos, loss 1.9052622000376382, acc 0.65744, f1 0.66268, p 0.66801, r 0.65744
Iter 3900, task keysem17, loss 0.5258439257740974, acc 0.84253, f1 0.69872, p 0.69707, r 0.70038
Iter 3900, task gpos, loss 1.8925652027130127, acc 0.66110, f1 0.66603, p 0.67103, r 0.66110
Iter 4000, task keysem17, loss 0.5215630084276199, acc 0.84373, f1 0.69705, p 0.70431, r 0.68993
Iter 4000, task gpos, loss 1.8809789657592773, acc 0.66476, f1 0.66942, p 0.67415, r 0.66476
Iter 4100, task keysem17, loss 0.5211910655101141, acc 0.84422, f1 0.70383, p 0.69744, r 0.71035
Iter 4100, task gpos, loss 1.8695726950963338, acc 0.66608, f1 0.67080, p 0.67558, r 0.66608
Iter 4200, task keysem17, loss 0.5168539583683014, acc 0.84482, f1 0.69986, p 0.70560, r 0.69421
Iter 4200, task gpos, loss 1.8564882596333823, acc 0.66989, f1 0.67449, p 0.67914, r 0.66989
Iter 4300, task keysem17, loss 0.5130200584729513, acc 0.84531, f1 0.69645, p 0.71272, r 0.68091
