Iter 100, task hyperlinks, loss 0.9260507822036743, acc 0.82587, f1 0.01446, p 0.42857, r 0.00735
Iter 200, task hyperlinks, loss 0.8147992889086405, acc 0.82756, f1 0.01928, p 0.57143, r 0.00980
Iter 300, task hyperlinks, loss 0.77264803647995, acc 0.82671, f1 0.01928, p 0.57143, r 0.00980
Iter 400, task hyperlinks, loss 0.7442919413248698, acc 0.82713, f1 0.03819, p 0.72727, r 0.01961
Iter 500, task hyperlinks, loss 0.7207478880882263, acc 0.82460, f1 0.02421, p 1.00000, r 0.01225
Iter 600, task hyperlinks, loss 0.702980657418569, acc 0.82587, f1 0.04317, p 1.00000, r 0.02206
Iter 700, task hyperlinks, loss 0.6881845196088155, acc 0.82629, f1 0.05714, p 1.00000, r 0.02941
Iter 800, task hyperlinks, loss 0.6746989885965983, acc 0.82756, f1 0.07547, p 1.00000, r 0.03922
Iter 900, task hyperlinks, loss 0.665073831876119, acc 0.82629, f1 0.09655, p 0.77778, r 0.05147
Iter 1000, task hyperlinks, loss 0.6546956102053324, acc 0.82629, f1 0.10069, p 0.75862, r 0.05392
Iter 1100, task hyperlinks, loss 0.6458218495051066, acc 0.82756, f1 0.11791, p 0.78788, r 0.06373
Iter 1200, task hyperlinks, loss 0.6389729976654053, acc 0.83094, f1 0.16993, p 0.76471, r 0.09559
Iter 1300, task hyperlinks, loss 0.6328758796056112, acc 0.83432, f1 0.21429, p 0.75000, r 0.12500
Iter 1400, task hyperlinks, loss 0.6268856326738993, acc 0.83686, f1 0.23967, p 0.76316, r 0.14216
Iter 1500, task hyperlinks, loss 0.6236223975817362, acc 0.83686, f1 0.25806, p 0.72727, r 0.15686
Iter 1600, task hyperlinks, loss 0.6183120608329773, acc 0.83686, f1 0.25152, p 0.72941, r 0.15196
Iter 1700, task hyperlinks, loss 0.6166534821192423, acc 0.83728, f1 0.28405, p 0.68868, r 0.17892
Iter 1800, task hyperlinks, loss 0.6122777263323466, acc 0.83855, f1 0.27435, p 0.72632, r 0.16912
Iter 1900, task hyperlinks, loss 0.611947496732076, acc 0.84024, f1 0.32963, p 0.67424, r 0.21814
Iter 2000, task hyperlinks, loss 0.6062373121579488, acc 0.83981, f1 0.31120, p 0.68908, r 0.20098
Iter 2100, task hyperlinks, loss 0.6019240021705627, acc 0.84024, f1 0.30385, p 0.70536, r 0.19363
Iter 2200, task hyperlinks, loss 0.6012691656748453, acc 0.84277, f1 0.35036, p 0.68571, r 0.23529
Iter 2300, task hyperlinks, loss 0.5961127877235413, acc 0.84150, f1 0.31559, p 0.70339, r 0.20343
Iter 2400, task hyperlinks, loss 0.5937158266703287, acc 0.84235, f1 0.32453, p 0.70492, r 0.21078
Iter 2500, task hyperlinks, loss 0.5906098882357279, acc 0.84108, f1 0.29297, p 0.72115, r 0.18382
Iter 2600, task hyperlinks, loss 0.5880140562852224, acc 0.84108, f1 0.30174, p 0.71560, r 0.19118
Iter 2700, task hyperlinks, loss 0.5860785245895386, acc 0.84531, f1 0.35766, p 0.70000, r 0.24020
Iter 2800, task hyperlinks, loss 0.5823934674263, acc 0.84446, f1 0.35165, p 0.69565, r 0.23529
Iter 2900, task hyperlinks, loss 0.5798497200012207, acc 0.84404, f1 0.33145, p 0.71545, r 0.21569
Iter 3000, task hyperlinks, loss 0.5767249365647634, acc 0.84362, f1 0.33582, p 0.70312, r 0.22059
Iter 3100, task hyperlinks, loss 0.574537475903829, acc 0.84446, f1 0.33955, p 0.71094, r 0.22304
Iter 3200, task hyperlinks, loss 0.5729985535144806, acc 0.84362, f1 0.34317, p 0.69403, r 0.22794
Iter 3300, task hyperlinks, loss 0.5713723401228586, acc 0.84362, f1 0.35740, p 0.67808, r 0.24265
Iter 3400, task hyperlinks, loss 0.5686926345030466, acc 0.84320, f1 0.34011, p 0.69173, r 0.22549
Iter 3500, task hyperlinks, loss 0.5663043161233267, acc 0.84489, f1 0.36720, p 0.67320, r 0.25245
Iter 3600, task hyperlinks, loss 0.5651449660460154, acc 0.84531, f1 0.33645, p 0.70866, r 0.22059
Iter 3700, task hyperlinks, loss 0.5616206228733063, acc 0.84573, f1 0.34926, p 0.69853, r 0.23284
Iter 3800, task hyperlinks, loss 0.5618234177430471, acc 0.84446, f1 0.34735, p 0.68345, r 0.23284
Iter 3900, task hyperlinks, loss 0.5606358150641123, acc 0.84658, f1 0.35401, p 0.69286, r 0.23775
Iter 4000, task hyperlinks, loss 0.5579239924748739, acc 0.84531, f1 0.35145, p 0.67361, r 0.23775
Iter 4100, task hyperlinks, loss 0.5577852229277293, acc 0.84658, f1 0.37168, p 0.66879, r 0.25735
Iter 4200, task hyperlinks, loss 0.554922084013621, acc 0.84700, f1 0.36494, p 0.67550, r 0.25000
Iter 4300, task hyperlinks, loss 0.5544024407863617, acc 0.84615, f1 0.37913, p 0.65269, r 0.26716
Iter 4400, task hyperlinks, loss 0.5528738300005595, acc 0.84531, f1 0.34369, p 0.67626, r 0.23039
Iter 4500, task hyperlinks, loss 0.5523756047089895, acc 0.84573, f1 0.38210, p 0.64162, r 0.27206
Iter 4600, task hyperlinks, loss 0.548860490322113, acc 0.84827, f1 0.36331, p 0.68243, r 0.24755
Iter 4700, task hyperlinks, loss 0.5485633214314779, acc 0.84066, f1 0.38270, p 0.59585, r 0.28186
Iter 4800, task hyperlinks, loss 0.5459749201933543, acc 0.84404, f1 0.38786, p 0.62162, r 0.28186
Iter 4900, task hyperlinks, loss 0.5458446145057678, acc 0.84658, f1 0.36136, p 0.66887, r 0.24755
Iter 5000, task hyperlinks, loss 0.5453546643257141, acc 0.83939, f1 0.37874, p 0.58763, r 0.27941
Iter 5100, task hyperlinks, loss 0.5410661598046621, acc 0.84742, f1 0.36655, p 0.66883, r 0.25245
Iter 5200, task hyperlinks, loss 0.5429930885632833, acc 0.84573, f1 0.34545, p 0.66901, r 0.23284
Iter 5300, task hyperlinks, loss 0.538340707619985, acc 0.84827, f1 0.37895, p 0.66667, r 0.26471
Iter 5400, task hyperlinks, loss 0.5381353497505188, acc 0.84869, f1 0.36852, p 0.68212, r 0.25245
Iter 5500, task hyperlinks, loss 0.5371937155723572, acc 0.84573, f1 0.36842, p 0.64815, r 0.25735
