Iter 100, task mwe, loss 2.006890066464742, acc 0.82974, f1 0.00000, p 0.00000, r 0.00000
Iter 100, task hyperlinks, loss 1.1407697200775146, acc 0.75571, f1 0.25197, p 0.27119, r 0.23529
Iter 200, task mwe, loss 1.934253978729248, acc 0.82974, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task hyperlinks, loss 0.7612915436426798, acc 0.82460, f1 0.05896, p 0.39394, r 0.03186
Iter 300, task mwe, loss 1.8929837306340536, acc 0.82974, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task hyperlinks, loss 0.7124668558438619, acc 0.82671, f1 0.06393, p 0.46667, r 0.03431
Iter 400, task mwe, loss 1.8611157337824504, acc 0.82974, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task hyperlinks, loss 0.6831725637118021, acc 0.82883, f1 0.06897, p 0.55556, r 0.03676
Iter 500, task mwe, loss 1.8293602307637533, acc 0.82974, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task hyperlinks, loss 0.6653010050455729, acc 0.83305, f1 0.08353, p 0.78261, r 0.04412
Iter 600, task mwe, loss 1.8102879126866658, acc 0.82959, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task hyperlinks, loss 0.6425116260846456, acc 0.83305, f1 0.07925, p 0.80952, r 0.04167
Iter 700, task mwe, loss 1.791812245051066, acc 0.82898, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task hyperlinks, loss 0.6230902870496114, acc 0.83347, f1 0.08372, p 0.81818, r 0.04412
Iter 800, task mwe, loss 1.7757218917210897, acc 0.82776, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task hyperlinks, loss 0.6069079041481018, acc 0.83136, f1 0.05701, p 0.92308, r 0.02941
Iter 900, task mwe, loss 1.761154548327128, acc 0.82684, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task hyperlinks, loss 0.5927233695983887, acc 0.82840, f1 0.05238, p 0.91667, r 0.02696
Iter 1000, task mwe, loss 1.7470250447591147, acc 0.82562, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task hyperlinks, loss 0.5808935960133871, acc 0.82671, f1 0.04785, p 1.00000, r 0.02451
Iter 1100, task mwe, loss 1.736549186706543, acc 0.82516, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task hyperlinks, loss 0.5679922302563986, acc 0.82883, f1 0.07092, p 1.00000, r 0.03676
Iter 1200, task mwe, loss 1.72602170308431, acc 0.82471, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task hyperlinks, loss 0.5593563516934713, acc 0.82798, f1 0.07059, p 0.88235, r 0.03676
Iter 1300, task mwe, loss 1.7149967034657796, acc 0.82272, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task hyperlinks, loss 0.5498700737953186, acc 0.82798, f1 0.07512, p 0.88889, r 0.03922
Iter 1400, task mwe, loss 1.705630397796631, acc 0.82257, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task hyperlinks, loss 0.5426148970921835, acc 0.82756, f1 0.07512, p 0.88889, r 0.03922
Iter 1500, task mwe, loss 1.6960782210032146, acc 0.82257, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task hyperlinks, loss 0.5335583488146464, acc 0.82713, f1 0.06619, p 0.93333, r 0.03431
Iter 1600, task mwe, loss 1.6889517625172934, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task hyperlinks, loss 0.5271409551302592, acc 0.82713, f1 0.08372, p 0.81818, r 0.04412
