Iter 100, task streusle, loss 4.484577306111654, acc 0.47931, f1 0.00058, p 0.03571, r 0.00029
Iter 100, task hyperlinks, loss 1.417946497599284, acc 0.55114, f1 0.26750, p 0.18647, r 0.47304
Iter 200, task streusle, loss 4.146167866388956, acc 0.48023, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task hyperlinks, loss 0.8521130482355753, acc 0.82249, f1 0.03226, p 0.26923, r 0.01716
Iter 300, task streusle, loss 3.9285449028015136, acc 0.48023, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task hyperlinks, loss 0.7628937760988871, acc 0.82375, f1 0.02797, p 0.28571, r 0.01471
Iter 400, task streusle, loss 3.8074849128723143, acc 0.47992, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task hyperlinks, loss 0.7256138722101847, acc 0.82502, f1 0.02817, p 0.33333, r 0.01471
Iter 500, task streusle, loss 3.7278501192728677, acc 0.47824, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task hyperlinks, loss 0.6998860438664755, acc 0.82587, f1 0.01435, p 0.30000, r 0.00735
Iter 600, task streusle, loss 3.6593024571736654, acc 0.47274, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task hyperlinks, loss 0.683215339978536, acc 0.82671, f1 0.01942, p 1.00000, r 0.00980
Iter 700, task streusle, loss 3.6165352980295817, acc 0.46587, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task hyperlinks, loss 0.6659835974375407, acc 0.82629, f1 0.02899, p 1.00000, r 0.01471
Iter 800, task streusle, loss 3.5800108591715496, acc 0.45900, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task hyperlinks, loss 0.6530109246571859, acc 0.82375, f1 0.02421, p 1.00000, r 0.01225
Iter 900, task streusle, loss 3.552310562133789, acc 0.45763, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task hyperlinks, loss 0.6409356395403544, acc 0.82418, f1 0.02899, p 1.00000, r 0.01471
Iter 1000, task streusle, loss 3.5266120274861654, acc 0.45839, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task hyperlinks, loss 0.6290098428726196, acc 0.82333, f1 0.02421, p 1.00000, r 0.01225
Iter 1100, task streusle, loss 3.5052529335021974, acc 0.46160, f1 0.00000, p 0.00000, r 0.00000
Iter 1100, task hyperlinks, loss 0.6199230353037516, acc 0.82333, f1 0.02421, p 1.00000, r 0.01225
Iter 1200, task streusle, loss 3.4846869468688966, acc 0.46312, f1 0.00000, p 0.00000, r 0.00000
Iter 1200, task hyperlinks, loss 0.611275315284729, acc 0.82291, f1 0.02421, p 1.00000, r 0.01225
Iter 1300, task streusle, loss 3.4669803460439046, acc 0.46419, f1 0.00000, p 0.00000, r 0.00000
Iter 1300, task hyperlinks, loss 0.6047993699709574, acc 0.82206, f1 0.02421, p 1.00000, r 0.01225
Iter 1400, task streusle, loss 3.4478440920511884, acc 0.46541, f1 0.00000, p 0.00000, r 0.00000
Iter 1400, task hyperlinks, loss 0.5979040265083313, acc 0.82249, f1 0.02421, p 1.00000, r 0.01225
Iter 1500, task streusle, loss 3.4308468818664553, acc 0.46618, f1 0.00000, p 0.00000, r 0.00000
Iter 1500, task hyperlinks, loss 0.5920754273732504, acc 0.82206, f1 0.02421, p 1.00000, r 0.01225
Iter 1600, task streusle, loss 3.41898733774821, acc 0.46679, f1 0.00000, p 0.00000, r 0.00000
Iter 1600, task hyperlinks, loss 0.5860297282536825, acc 0.82164, f1 0.02421, p 1.00000, r 0.01225
Iter 1700, task streusle, loss 3.405377086003621, acc 0.46786, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task hyperlinks, loss 0.5811227957407633, acc 0.82122, f1 0.02415, p 0.83333, r 0.01225
Iter 1800, task streusle, loss 3.388447666168213, acc 0.46832, f1 0.00000, p 0.00000, r 0.00000
Iter 1800, task hyperlinks, loss 0.5795494914054871, acc 0.82375, f1 0.05238, p 0.91667, r 0.02696
Iter 1900, task streusle, loss 3.376005522410075, acc 0.46862, f1 0.00000, p 0.00000, r 0.00000
Iter 1900, task hyperlinks, loss 0.5763020515441895, acc 0.82460, f1 0.05687, p 0.85714, r 0.02941
Iter 2000, task streusle, loss 3.360986852645874, acc 0.46893, f1 0.00000, p 0.00000, r 0.00000
Iter 2000, task hyperlinks, loss 0.5707375009854635, acc 0.82502, f1 0.05238, p 0.91667, r 0.02696
Iter 2100, task streusle, loss 3.3469423135121663, acc 0.46893, f1 0.00000, p 0.00000, r 0.00000
Iter 2100, task hyperlinks, loss 0.5687404870986938, acc 0.82502, f1 0.06604, p 0.87500, r 0.03431
Iter 2200, task streusle, loss 3.335692024230957, acc 0.46908, f1 0.00059, p 0.07143, r 0.00029
Iter 2200, task hyperlinks, loss 0.5629830360412598, acc 0.82502, f1 0.05687, p 0.85714, r 0.02941
Iter 2300, task streusle, loss 3.3235284328460692, acc 0.46923, f1 0.00234, p 0.16667, r 0.00118
Iter 2300, task hyperlinks, loss 0.5598208804925283, acc 0.82587, f1 0.06604, p 0.87500, r 0.03431
Iter 2400, task streusle, loss 3.3130274295806883, acc 0.47061, f1 0.00698, p 0.29268, r 0.00353
Iter 2400, task hyperlinks, loss 0.5572732289632162, acc 0.82544, f1 0.07026, p 0.78947, r 0.03676
Iter 2500, task streusle, loss 3.301840607325236, acc 0.47259, f1 0.01837, p 0.37209, r 0.00942
Iter 2500, task hyperlinks, loss 0.5534251232941946, acc 0.82544, f1 0.07026, p 0.78947, r 0.03676
Iter 2600, task streusle, loss 3.2892223676045735, acc 0.47473, f1 0.03203, p 0.35185, r 0.01678
Iter 2600, task hyperlinks, loss 0.5515286723772684, acc 0.82629, f1 0.08353, p 0.78261, r 0.04412
Iter 2700, task streusle, loss 3.276837698618571, acc 0.47717, f1 0.03223, p 0.40714, r 0.01678
Iter 2700, task hyperlinks, loss 0.5486554602781931, acc 0.82798, f1 0.10526, p 0.79310, r 0.05637
Iter 2800, task streusle, loss 3.266798464457194, acc 0.48175, f1 0.05084, p 0.41441, r 0.02708
Iter 2800, task hyperlinks, loss 0.5455466310183207, acc 0.82925, f1 0.12217, p 0.79412, r 0.06618
Iter 2900, task streusle, loss 3.252701663970947, acc 0.48679, f1 0.06790, p 0.43860, r 0.03680
Iter 2900, task hyperlinks, loss 0.5429491102695465, acc 0.82967, f1 0.12641, p 0.80000, r 0.06863
Iter 3000, task streusle, loss 3.241197967529297, acc 0.49091, f1 0.07727, p 0.43636, r 0.04239
Iter 3000, task hyperlinks, loss 0.5404710471630096, acc 0.82967, f1 0.13423, p 0.76923, r 0.07353
Iter 3100, task streusle, loss 3.2277065912882485, acc 0.49947, f1 0.10815, p 0.41782, r 0.06211
Iter 3100, task hyperlinks, loss 0.5390279988447825, acc 0.83094, f1 0.14667, p 0.78571, r 0.08088
Iter 3200, task streusle, loss 3.215631643931071, acc 0.50267, f1 0.11607, p 0.41712, r 0.06741
Iter 3200, task hyperlinks, loss 0.5375950237115225, acc 0.83178, f1 0.16228, p 0.77083, r 0.09069
Iter 3300, task streusle, loss 3.205347696940104, acc 0.50481, f1 0.12298, p 0.42732, r 0.07183
Iter 3300, task hyperlinks, loss 0.5381579200426737, acc 0.83474, f1 0.23313, p 0.70370, r 0.13971
Iter 3400, task streusle, loss 3.1928064982096354, acc 0.51015, f1 0.13761, p 0.40902, r 0.08272
Iter 3400, task hyperlinks, loss 0.5330535968144735, acc 0.83432, f1 0.20675, p 0.74242, r 0.12010
Iter 3500, task streusle, loss 3.1820478280385336, acc 0.51153, f1 0.14045, p 0.40909, r 0.08478
Iter 3500, task hyperlinks, loss 0.532834013303121, acc 0.83559, f1 0.24341, p 0.70588, r 0.14706
Iter 3600, task streusle, loss 3.170829407374064, acc 0.51428, f1 0.14593, p 0.40701, r 0.08890
Iter 3600, task hyperlinks, loss 0.5295639534791311, acc 0.83559, f1 0.22774, p 0.73333, r 0.13480
Iter 3700, task streusle, loss 3.1589545090993245, acc 0.51901, f1 0.15850, p 0.38940, r 0.09950
Iter 3700, task hyperlinks, loss 0.5278937021891276, acc 0.83516, f1 0.22727, p 0.72368, r 0.13480
Iter 3800, task streusle, loss 3.147724914550781, acc 0.52145, f1 0.16377, p 0.38621, r 0.10392
Iter 3800, task hyperlinks, loss 0.526187946399053, acc 0.83643, f1 0.23140, p 0.73684, r 0.13725
Iter 3900, task streusle, loss 3.135968240102132, acc 0.52176, f1 0.16445, p 0.37049, r 0.10568
Iter 3900, task hyperlinks, loss 0.5234120488166809, acc 0.83601, f1 0.22129, p 0.74648, r 0.12990
Iter 4000, task streusle, loss 3.124543285369873, acc 0.52252, f1 0.16617, p 0.38080, r 0.10627
Iter 4000, task hyperlinks, loss 0.5219241182009379, acc 0.83516, f1 0.22083, p 0.73611, r 0.12990
Iter 4100, task streusle, loss 3.1143062273661295, acc 0.52405, f1 0.16911, p 0.36127, r 0.11039
Iter 4100, task hyperlinks, loss 0.5211405952771505, acc 0.83643, f1 0.26243, p 0.69474, r 0.16176
Iter 4200, task streusle, loss 3.102109702428182, acc 0.52665, f1 0.17493, p 0.36723, r 0.11481
Iter 4200, task hyperlinks, loss 0.5182057122389475, acc 0.83601, f1 0.22774, p 0.73333, r 0.13480
Iter 4300, task streusle, loss 3.0888840993245443, acc 0.53092, f1 0.18520, p 0.36123, r 0.12452
Iter 4300, task hyperlinks, loss 0.518776535987854, acc 0.83812, f1 0.28460, p 0.69524, r 0.17892
Iter 4400, task streusle, loss 3.077342987060547, acc 0.53657, f1 0.19802, p 0.36616, r 0.13571
Iter 4400, task hyperlinks, loss 0.5152465601762136, acc 0.83643, f1 0.23093, p 0.72727, r 0.13725
Iter 4500, task streusle, loss 3.0671229998270673, acc 0.53932, f1 0.20514, p 0.36814, r 0.14218
Iter 4500, task hyperlinks, loss 0.5163657963275909, acc 0.83897, f1 0.29885, p 0.68421, r 0.19118
Iter 4600, task streusle, loss 3.05780021349589, acc 0.54085, f1 0.20682, p 0.38785, r 0.14101
Iter 4600, task hyperlinks, loss 0.5128389497598013, acc 0.83812, f1 0.26295, p 0.70213, r 0.16176
Iter 4700, task streusle, loss 3.048208141326904, acc 0.54818, f1 0.22292, p 0.37960, r 0.15779
Iter 4700, task hyperlinks, loss 0.5116113921006521, acc 0.83897, f1 0.24180, p 0.73750, r 0.14461
Iter 4800, task streusle, loss 3.0384696324666343, acc 0.55047, f1 0.22797, p 0.38344, r 0.16220
Iter 4800, task hyperlinks, loss 0.5104105571905772, acc 0.84024, f1 0.28180, p 0.69903, r 0.17647
Iter 4900, task streusle, loss 3.0291911125183106, acc 0.55321, f1 0.23419, p 0.38140, r 0.16897
Iter 4900, task hyperlinks, loss 0.5090432067712148, acc 0.83812, f1 0.26190, p 0.68750, r 0.16176
Iter 5000, task streusle, loss 3.0196951548258464, acc 0.55306, f1 0.23422, p 0.37712, r 0.16986
Iter 5000, task hyperlinks, loss 0.5124022364616394, acc 0.83939, f1 0.33273, p 0.63448, r 0.22549
Iter 5100, task streusle, loss 3.0097647666931153, acc 0.55947, f1 0.24635, p 0.39647, r 0.17869
Iter 5100, task hyperlinks, loss 0.5059316555658976, acc 0.84277, f1 0.30268, p 0.69298, r 0.19363
Iter 5200, task streusle, loss 2.9995649178822834, acc 0.56024, f1 0.24769, p 0.39062, r 0.18134
Iter 5200, task hyperlinks, loss 0.5064001679420471, acc 0.84024, f1 0.30970, p 0.64844, r 0.20343
Iter 5300, task streusle, loss 2.9881088733673096, acc 0.56344, f1 0.25479, p 0.39603, r 0.18781
Iter 5300, task hyperlinks, loss 0.5034658213456472, acc 0.84362, f1 0.30000, p 0.69643, r 0.19118
Iter 5400, task streusle, loss 2.977863804499308, acc 0.56818, f1 0.26149, p 0.38339, r 0.19841
Iter 5400, task hyperlinks, loss 0.5041641493638357, acc 0.84193, f1 0.31343, p 0.65625, r 0.20588
Iter 5500, task streusle, loss 2.9680185000101726, acc 0.56909, f1 0.26439, p 0.39728, r 0.19812
Iter 5500, task hyperlinks, loss 0.5017045140266418, acc 0.84404, f1 0.32150, p 0.67717, r 0.21078
Iter 5600, task streusle, loss 2.9568797747294107, acc 0.57261, f1 0.27094, p 0.39328, r 0.20665
Iter 5600, task hyperlinks, loss 0.5001162985960642, acc 0.84277, f1 0.30943, p 0.67213, r 0.20098
Iter 5700, task streusle, loss 2.9460335890452067, acc 0.57581, f1 0.27631, p 0.39475, r 0.21254
Iter 5700, task hyperlinks, loss 0.5006199181079865, acc 0.84277, f1 0.32222, p 0.65909, r 0.21324
Iter 5800, task streusle, loss 2.9357202370961506, acc 0.57841, f1 0.28242, p 0.40755, r 0.21607
Iter 5800, task hyperlinks, loss 0.49749218424161273, acc 0.84362, f1 0.30000, p 0.69643, r 0.19118
Iter 5900, task streusle, loss 2.9248965899149577, acc 0.58100, f1 0.28555, p 0.39831, r 0.22255
Iter 5900, task hyperlinks, loss 0.49708398183186847, acc 0.84446, f1 0.32210, p 0.68254, r 0.21078
Iter 6000, task streusle, loss 2.916090901692708, acc 0.58345, f1 0.29063, p 0.40580, r 0.22638
Iter 6000, task hyperlinks, loss 0.4946048855781555, acc 0.84404, f1 0.31380, p 0.68595, r 0.20343
Iter 6100, task streusle, loss 2.9064250628153485, acc 0.58360, f1 0.29022, p 0.40052, r 0.22755
Iter 6100, task hyperlinks, loss 0.4939635992050171, acc 0.84404, f1 0.30326, p 0.69912, r 0.19363
Iter 6200, task streusle, loss 2.8965591907501222, acc 0.58574, f1 0.29546, p 0.40681, r 0.23197
Iter 6200, task hyperlinks, loss 0.49271247784296673, acc 0.84489, f1 0.31238, p 0.70085, r 0.20098
Iter 6300, task streusle, loss 2.88907519976298, acc 0.58757, f1 0.29650, p 0.39930, r 0.23580
Iter 6300, task hyperlinks, loss 0.4927027225494385, acc 0.84446, f1 0.31698, p 0.68852, r 0.20588
Iter 6400, task streusle, loss 2.882851505279541, acc 0.58803, f1 0.29821, p 0.40818, r 0.23491
Iter 6400, task hyperlinks, loss 0.4927809437115987, acc 0.84489, f1 0.35420, p 0.65563, r 0.24265
Iter 6500, task streusle, loss 2.8740655422210692, acc 0.59200, f1 0.30522, p 0.40900, r 0.24345
Iter 6500, task hyperlinks, loss 0.4910329778989156, acc 0.84531, f1 0.34307, p 0.67143, r 0.23039
Iter 6600, task streusle, loss 2.865034341812134, acc 0.59444, f1 0.30842, p 0.40343, r 0.24963
Iter 6600, task hyperlinks, loss 0.4904286464055379, acc 0.84489, f1 0.34955, p 0.65986, r 0.23775
Iter 6700, task streusle, loss 2.8564550399780275, acc 0.59704, f1 0.31447, p 0.41182, r 0.25434
Iter 6700, task hyperlinks, loss 0.4879276156425476, acc 0.84404, f1 0.29457, p 0.70370, r 0.18627
Iter 6800, task streusle, loss 2.848035780588786, acc 0.59994, f1 0.31940, p 0.41718, r 0.25876
Iter 6800, task hyperlinks, loss 0.4877793987592061, acc 0.84404, f1 0.34532, p 0.64865, r 0.23529
Iter 6900, task streusle, loss 2.8393443902333577, acc 0.60253, f1 0.32300, p 0.41292, r 0.26523
Iter 6900, task hyperlinks, loss 0.4887192447980245, acc 0.83939, f1 0.35678, p 0.59429, r 0.25490
Iter 7000, task streusle, loss 2.830574146906535, acc 0.60299, f1 0.32440, p 0.42125, r 0.26376
Iter 7000, task hyperlinks, loss 0.48690799872080487, acc 0.84150, f1 0.34336, p 0.61783, r 0.23775
Iter 7100, task streusle, loss 2.822396183013916, acc 0.60620, f1 0.33064, p 0.42507, r 0.27053
Iter 7100, task hyperlinks, loss 0.48403502504030865, acc 0.84489, f1 0.34358, p 0.65517, r 0.23284
