Iter 100, task keysem17, loss 1.0726371109485626, acc 0.71239, f1 0.23439, p 0.36400, r 0.17284
Iter 200, task keysem17, loss 0.911398803194364, acc 0.74698, f1 0.30267, p 0.50783, r 0.21557
Iter 300, task keysem17, loss 0.8371351808309555, acc 0.76766, f1 0.40582, p 0.58208, r 0.31149
Iter 400, task keysem17, loss 0.7841726938883463, acc 0.78895, f1 0.51595, p 0.62041, r 0.44160
Iter 500, task keysem17, loss 0.7393981168667475, acc 0.80189, f1 0.55846, p 0.65331, r 0.48765
Iter 600, task keysem17, loss 0.7070056796073914, acc 0.81156, f1 0.59827, p 0.66862, r 0.54131
Iter 700, task keysem17, loss 0.679313912987709, acc 0.81422, f1 0.60080, p 0.68174, r 0.53704
Iter 800, task keysem17, loss 0.6619681219259897, acc 0.81870, f1 0.63598, p 0.66806, r 0.60684
Iter 900, task keysem17, loss 0.6462523291508356, acc 0.82063, f1 0.64864, p 0.66617, r 0.63200
Iter 1000, task keysem17, loss 0.628535528977712, acc 0.82535, f1 0.64474, p 0.69014, r 0.60494
Iter 1100, task keysem17, loss 0.6175172428290049, acc 0.82801, f1 0.65824, p 0.68844, r 0.63058
Iter 1200, task keysem17, loss 0.6078842381636301, acc 0.82825, f1 0.66126, p 0.68499, r 0.63913
Iter 1300, task keysem17, loss 0.6040190805991491, acc 0.82608, f1 0.67305, p 0.66177, r 0.68471
Iter 1400, task keysem17, loss 0.5930673082669576, acc 0.83019, f1 0.67397, p 0.67606, r 0.67189
Iter 1500, task keysem17, loss 0.5859259068965912, acc 0.83188, f1 0.67730, p 0.67941, r 0.67521
Iter 1600, task keysem17, loss 0.5765993172923723, acc 0.83430, f1 0.67384, p 0.69456, r 0.65432
Iter 1700, task keysem17, loss 0.5686445186535517, acc 0.83696, f1 0.67167, p 0.71005, r 0.63723
Iter 1800, task keysem17, loss 0.5632454752922058, acc 0.83769, f1 0.67656, p 0.70588, r 0.64957
Iter 1900, task keysem17, loss 0.5598369290431341, acc 0.83829, f1 0.68318, p 0.69896, r 0.66809
Iter 2000, task keysem17, loss 0.5529776811599731, acc 0.83938, f1 0.67873, p 0.71006, r 0.65005
Iter 2100, task keysem17, loss 0.5517780855298042, acc 0.83805, f1 0.69080, p 0.68835, r 0.69326
Iter 2200, task keysem17, loss 0.5432926739255587, acc 0.84180, f1 0.68114, p 0.71767, r 0.64815
Iter 2300, task keysem17, loss 0.5399576450387636, acc 0.84095, f1 0.68619, p 0.70582, r 0.66762
Iter 2400, task keysem17, loss 0.5341959446668625, acc 0.84361, f1 0.68542, p 0.72019, r 0.65385
Iter 2500, task keysem17, loss 0.5335221439599991, acc 0.84156, f1 0.69433, p 0.69732, r 0.69136
Iter 2600, task keysem17, loss 0.5284587393204371, acc 0.84289, f1 0.69203, p 0.70658, r 0.67806
