Iter 10, task keysem17, loss 1.809007167816162
Iter 20, task keysem17, loss 1.711840271949768
Iter 30, task keysem17, loss 1.602227807044983
Iter 40, task keysem17, loss 1.5272893905639648
Iter 50, task keysem17, loss 1.4219322204589844
Iter 60, task keysem17, loss 1.3392966985702515
Iter 70, task keysem17, loss 1.2584165334701538
Iter 80, task keysem17, loss 1.1869465112686157
Iter 90, task keysem17, loss 1.1607941389083862
Iter 100, task keysem17, loss 1.1004358530044556
Iter 110, task keysem17, loss 1.0622854232788086
Iter 120, task keysem17, loss 1.0446288585662842
Iter 130, task keysem17, loss 1.0210672616958618
Iter 140, task keysem17, loss 0.988224983215332
Iter 150, task keysem17, loss 0.984952449798584
Iter 160, task keysem17, loss 0.9618439674377441
Iter 170, task keysem17, loss 0.9479277729988098
Iter 180, task keysem17, loss 0.962890625
Iter 190, task keysem17, loss 0.9511481523513794
Iter 200, task keysem17, loss 0.9201194643974304
Iter 210, task keysem17, loss 0.8875316381454468
Iter 220, task keysem17, loss 0.8931348919868469
Iter 230, task keysem17, loss 0.8710035085678101
Iter 240, task keysem17, loss 0.9130010604858398
Iter 250, task keysem17, loss 0.8809542655944824
Iter 260, task keysem17, loss 0.8809014558792114
Iter 270, task keysem17, loss 0.8836820721626282
Iter 280, task keysem17, loss 0.866174578666687
Iter 290, task keysem17, loss 0.8551031351089478
Iter 300, task keysem17, loss 0.8579534292221069
Iter 310, task keysem17, loss 0.8725612759590149
Iter 320, task keysem17, loss 0.8263536691665649
Iter 330, task keysem17, loss 0.8348644971847534
Iter 340, task keysem17, loss 0.8614481687545776
Iter 350, task keysem17, loss 0.8151777386665344
Iter 360, task keysem17, loss 0.8095417022705078
Iter 370, task keysem17, loss 0.8209342956542969
Iter 380, task keysem17, loss 0.7952011227607727
Iter 390, task keysem17, loss 0.8031573295593262
Iter 400, task keysem17, loss 0.7980861663818359
Iter 410, task keysem17, loss 0.8148615956306458
Iter 420, task keysem17, loss 0.7509130239486694
Iter 430, task keysem17, loss 0.771037220954895
Iter 440, task keysem17, loss 0.7951024770736694
Iter 450, task keysem17, loss 0.7688393592834473
Iter 460, task keysem17, loss 0.7557820081710815
Iter 470, task keysem17, loss 0.7541422247886658
Iter 480, task keysem17, loss 0.7825407981872559
Iter 490, task keysem17, loss 0.7595164775848389
Iter 500, task keysem17, loss 0.7486247420310974
Iter 510, task keysem17, loss 0.7755991816520691
Iter 520, task keysem17, loss 0.7523675560951233
Iter 530, task keysem17, loss 0.749089241027832
Iter 540, task keysem17, loss 0.7493137717247009
Iter 550, task keysem17, loss 0.7314570546150208
Iter 560, task keysem17, loss 0.7339800596237183
Iter 570, task keysem17, loss 0.7304567098617554
Iter 580, task keysem17, loss 0.7547880411148071
Iter 590, task keysem17, loss 0.7271437644958496
Iter 600, task keysem17, loss 0.72966468334198
Iter 610, task keysem17, loss 0.6938191652297974
Iter 620, task keysem17, loss 0.6975060701370239
Iter 630, task keysem17, loss 0.7060704231262207
Iter 640, task keysem17, loss 0.7047281861305237
Iter 650, task keysem17, loss 0.724988579750061
Iter 660, task keysem17, loss 0.70478355884552
Iter 670, task keysem17, loss 0.7123751044273376
Iter 680, task keysem17, loss 0.7209845185279846
Iter 690, task keysem17, loss 0.7133185267448425
Iter 700, task keysem17, loss 0.6890616416931152
Iter 710, task keysem17, loss 0.696640133857727
Iter 720, task keysem17, loss 0.7077543139457703
Iter 730, task keysem17, loss 0.6980656981468201
Iter 740, task keysem17, loss 0.6806046366691589
Iter 750, task keysem17, loss 0.6647676229476929
Iter 760, task keysem17, loss 0.6796184778213501
Iter 770, task keysem17, loss 0.679064154624939
Iter 780, task keysem17, loss 0.694258987903595
Iter 790, task keysem17, loss 0.6677535772323608
Iter 800, task keysem17, loss 0.6856138706207275
Iter 810, task keysem17, loss 0.6616085171699524
Iter 820, task keysem17, loss 0.6781319975852966
Iter 830, task keysem17, loss 0.6699364185333252
Iter 840, task keysem17, loss 0.6841706037521362
Iter 850, task keysem17, loss 0.6735569834709167
Iter 860, task keysem17, loss 0.6631971001625061
Iter 870, task keysem17, loss 0.6720474362373352
Iter 880, task keysem17, loss 0.6552715301513672
Iter 890, task keysem17, loss 0.6805843114852905
Iter 900, task keysem17, loss 0.6839468479156494
Iter 910, task keysem17, loss 0.6719354391098022
Iter 920, task keysem17, loss 0.662469208240509
Iter 930, task keysem17, loss 0.6446782350540161
Iter 940, task keysem17, loss 0.6594856977462769
Iter 950, task keysem17, loss 0.6660957336425781
Iter 960, task keysem17, loss 0.651699423789978
Iter 970, task keysem17, loss 0.649389386177063
Iter 980, task keysem17, loss 0.6450573205947876
Iter 990, task keysem17, loss 0.6184327602386475
Iter 1000, task keysem17, loss 0.6675432920455933
Iter 1010, task keysem17, loss 0.6725282073020935
Iter 1020, task keysem17, loss 0.6668491363525391
Iter 1030, task keysem17, loss 0.6373259425163269
Iter 1040, task keysem17, loss 0.65199214220047
Iter 1050, task keysem17, loss 0.6353996992111206
Iter 1060, task keysem17, loss 0.6348300576210022
Iter 1070, task keysem17, loss 0.6387237310409546
Iter 1080, task keysem17, loss 0.6297828555107117
Iter 1090, task keysem17, loss 0.6344913244247437
Iter 1100, task keysem17, loss 0.6197494268417358
Iter 1110, task keysem17, loss 0.6583251357078552
Iter 1120, task keysem17, loss 0.6618425250053406
Iter 1130, task keysem17, loss 0.6477217078208923
Iter 1140, task keysem17, loss 0.6311834454536438
Iter 1150, task keysem17, loss 0.6369820833206177
Iter 1160, task keysem17, loss 0.6290472149848938
Iter 1170, task keysem17, loss 0.6038475036621094
Iter 1180, task keysem17, loss 0.6172212362289429
Iter 1190, task keysem17, loss 0.6222012639045715
Iter 1200, task keysem17, loss 0.644204318523407
Iter 1210, task keysem17, loss 0.6066102385520935
Iter 1220, task keysem17, loss 0.6335610747337341
Iter 1230, task keysem17, loss 0.5845999717712402
Iter 1240, task keysem17, loss 0.6340992450714111
Iter 1250, task keysem17, loss 0.6527625322341919
Iter 1260, task keysem17, loss 0.6356300115585327
Iter 1270, task keysem17, loss 0.6018288731575012
Iter 1280, task keysem17, loss 0.5841857194900513
Iter 1290, task keysem17, loss 0.6050130128860474
Iter 1300, task keysem17, loss 0.6224817633628845
Iter 1310, task keysem17, loss 0.6041552424430847
Iter 1320, task keysem17, loss 0.6270884871482849
Iter 1330, task keysem17, loss 0.6438286900520325
Iter 1340, task keysem17, loss 0.6047202944755554
Iter 1350, task keysem17, loss 0.6177965402603149
Iter 1360, task keysem17, loss 0.5898386836051941
Iter 1370, task keysem17, loss 0.5813166499137878
Iter 1380, task keysem17, loss 0.6098165512084961
Iter 1390, task keysem17, loss 0.5982539057731628
Iter 1400, task keysem17, loss 0.5947639346122742
Iter 1410, task keysem17, loss 0.6153579950332642
Iter 1420, task keysem17, loss 0.6040598154067993
Iter 1430, task keysem17, loss 0.6204806566238403
Iter 1440, task keysem17, loss 0.6022073030471802
Iter 1450, task keysem17, loss 0.5884326696395874
Iter 1460, task keysem17, loss 0.6064422130584717
Iter 1470, task keysem17, loss 0.5926579236984253
Iter 1480, task keysem17, loss 0.5969573259353638
Iter 1490, task keysem17, loss 0.5902677178382874
