Iter 100, task mwe, loss 1.7449195384979248, acc 0.78165, f1 0.05740, p 0.09890, r 0.04043
Iter 200, task mwe, loss 1.6641806364059448, acc 0.81157, f1 0.03243, p 0.11538, r 0.01887
Iter 300, task mwe, loss 1.6167628685633342, acc 0.81997, f1 0.02932, p 0.15652, r 0.01617
Iter 400, task mwe, loss 1.5774824301401773, acc 0.82104, f1 0.02172, p 0.15476, r 0.01168
Iter 500, task mwe, loss 1.5446230491002402, acc 0.82180, f1 0.01368, p 0.14035, r 0.00719
Iter 600, task mwe, loss 1.5172035773595174, acc 0.81982, f1 0.01036, p 0.13333, r 0.00539
Iter 700, task mwe, loss 1.4939322551091512, acc 0.81829, f1 0.00523, p 0.08824, r 0.00270
Iter 800, task mwe, loss 1.4739763657251994, acc 0.81814, f1 0.00351, p 0.07407, r 0.00180
Iter 900, task mwe, loss 1.4570059537887574, acc 0.81829, f1 0.00352, p 0.08696, r 0.00180
Iter 1000, task mwe, loss 1.4410804748535155, acc 0.81845, f1 0.00353, p 0.10000, r 0.00180
Iter 1100, task mwe, loss 1.4281194845835368, acc 0.81890, f1 0.00354, p 0.11765, r 0.00180
Iter 1200, task mwe, loss 1.414990528424581, acc 0.81875, f1 0.00177, p 0.06667, r 0.00090
Iter 1300, task mwe, loss 1.401996342341105, acc 0.81875, f1 0.00177, p 0.07143, r 0.00090
Iter 1400, task mwe, loss 1.3903917789459228, acc 0.81906, f1 0.00178, p 0.08333, r 0.00090
Iter 1500, task mwe, loss 1.3788352648417155, acc 0.81951, f1 0.00178, p 0.09091, r 0.00090
Iter 1600, task mwe, loss 1.3689130147298176, acc 0.82058, f1 0.00000, p 0.00000, r 0.00000
Iter 1700, task mwe, loss 1.3576542139053345, acc 0.82074, f1 0.00000, p 0.00000, r 0.00000
Iter 1800, task mwe, loss 1.3471378962198892, acc 0.82135, f1 0.00000, p 0.00000, r 0.00000
Iter 1900, task mwe, loss 1.3358974615732828, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 2000, task mwe, loss 1.3257235606511435, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 2100, task mwe, loss 1.3153060913085937, acc 0.82180, f1 0.00000, p 0.00000, r 0.00000
Iter 2200, task mwe, loss 1.3057074387868246, acc 0.82226, f1 0.00000, p 0.00000, r 0.00000
Iter 2300, task mwe, loss 1.294691801071167, acc 0.82242, f1 0.00000, p 0.00000, r 0.00000
Iter 2400, task mwe, loss 1.2844613472620645, acc 0.82242, f1 0.00000, p 0.00000, r 0.00000
Iter 2500, task mwe, loss 1.273893411954244, acc 0.82318, f1 0.01237, p 0.36842, r 0.00629
Iter 2600, task mwe, loss 1.265090012550354, acc 0.82303, f1 0.00178, p 0.11111, r 0.00090
Iter 2700, task mwe, loss 1.2529116153717041, acc 0.82394, f1 0.02105, p 0.44444, r 0.01078
Iter 2800, task mwe, loss 1.243259358406067, acc 0.82379, f1 0.01411, p 0.38095, r 0.00719
Iter 2900, task mwe, loss 1.2327457586924235, acc 0.82394, f1 0.01585, p 0.39130, r 0.00809
Iter 3000, task mwe, loss 1.2222896019617717, acc 0.82410, f1 0.01930, p 0.40741, r 0.00988
Iter 3100, task mwe, loss 1.211233949661255, acc 0.82425, f1 0.02783, p 0.43243, r 0.01438
Iter 3200, task mwe, loss 1.2010221401850383, acc 0.82425, f1 0.02613, p 0.42857, r 0.01348
Iter 3300, task mwe, loss 1.190211335817973, acc 0.82455, f1 0.03460, p 0.46512, r 0.01797
Iter 3400, task mwe, loss 1.1800024429957072, acc 0.82516, f1 0.03466, p 0.48780, r 0.01797
Iter 3500, task mwe, loss 1.1699254433314006, acc 0.82532, f1 0.03130, p 0.48649, r 0.01617
Iter 3600, task mwe, loss 1.1595673163731892, acc 0.82547, f1 0.03469, p 0.50000, r 0.01797
Iter 3700, task mwe, loss 1.1483352263768514, acc 0.82516, f1 0.04124, p 0.47059, r 0.02156
Iter 3800, task mwe, loss 1.1381267706553142, acc 0.82547, f1 0.03800, p 0.48889, r 0.01977
Iter 3900, task mwe, loss 1.126958417892456, acc 0.82577, f1 0.04953, p 0.50000, r 0.02606
Iter 4000, task mwe, loss 1.1161229252815246, acc 0.82623, f1 0.06071, p 0.49315, r 0.03235
Iter 4100, task mwe, loss 1.1064404249191284, acc 0.82608, f1 0.05111, p 0.49180, r 0.02695
Iter 4200, task mwe, loss 1.0948101957639058, acc 0.82700, f1 0.07179, p 0.50588, r 0.03863
Iter 4300, task mwe, loss 1.0844091773033142, acc 0.82684, f1 0.07185, p 0.51190, r 0.03863
Iter 4400, task mwe, loss 1.0736517469088236, acc 0.82745, f1 0.07500, p 0.51724, r 0.04043
Iter 4500, task mwe, loss 1.0639976024627686, acc 0.82730, f1 0.06419, p 0.53521, r 0.03414
Iter 4600, task mwe, loss 1.0524807175000508, acc 0.82761, f1 0.07648, p 0.51111, r 0.04133
