Iter 10, task mwe, loss 2.3908095359802246
Iter 20, task mwe, loss 2.29504656791687
Iter 30, task mwe, loss 2.189112424850464
Iter 40, task mwe, loss 2.0639264583587646
Iter 50, task mwe, loss 1.9903415441513062
Iter 60, task mwe, loss 1.9055004119873047
Iter 70, task mwe, loss 1.8475719690322876
Iter 80, task mwe, loss 1.8190994262695312
Iter 90, task mwe, loss 1.7964897155761719
Iter 100, task mwe, loss 1.6861343383789062
Iter 110, task mwe, loss 1.7153794765472412
Iter 120, task mwe, loss 1.7018344402313232
Iter 130, task mwe, loss 1.6541407108306885
Iter 140, task mwe, loss 1.67391037940979
Iter 150, task mwe, loss 1.6623718738555908
Iter 160, task mwe, loss 1.7013368606567383
Iter 170, task mwe, loss 1.6268150806427002
Iter 180, task mwe, loss 1.6690776348114014
Iter 190, task mwe, loss 1.6441673040390015
Iter 200, task mwe, loss 1.6460797786712646
Iter 210, task mwe, loss 1.5935076475143433
Iter 220, task mwe, loss 1.6609108448028564
Iter 230, task mwe, loss 1.6622196435928345
Iter 240, task mwe, loss 1.6453964710235596
Iter 250, task mwe, loss 1.5895134210586548
Iter 260, task mwe, loss 1.6485649347305298
Iter 270, task mwe, loss 1.6682898998260498
Iter 280, task mwe, loss 1.5702323913574219
Iter 290, task mwe, loss 1.6411583423614502
Iter 300, task mwe, loss 1.6536375284194946
Iter 310, task mwe, loss 1.5747268199920654
Iter 320, task mwe, loss 1.5741984844207764
Iter 330, task mwe, loss 1.6271947622299194
Iter 340, task mwe, loss 1.6134519577026367
Iter 350, task mwe, loss 1.5624103546142578
Iter 360, task mwe, loss 1.5663387775421143
Iter 370, task mwe, loss 1.5778318643569946
Iter 380, task mwe, loss 1.5829092264175415
Iter 390, task mwe, loss 1.5935633182525635
Iter 400, task mwe, loss 1.527809739112854
Iter 410, task mwe, loss 1.5406489372253418
Iter 420, task mwe, loss 1.549087405204773
Iter 430, task mwe, loss 1.560743808746338
Iter 440, task mwe, loss 1.561457872390747
Iter 450, task mwe, loss 1.495489478111267
Iter 460, task mwe, loss 1.500457525253296
Iter 470, task mwe, loss 1.5502455234527588
Iter 480, task mwe, loss 1.5455516576766968
Iter 490, task mwe, loss 1.5065463781356812
Iter 500, task mwe, loss 1.5253676176071167
Iter 510, task mwe, loss 1.4890921115875244
Iter 520, task mwe, loss 1.5681071281433105
Iter 530, task mwe, loss 1.5273422002792358
Iter 540, task mwe, loss 1.5334253311157227
