Iter 100, task semcor, loss 3.2965175281153454, acc 0.52818, f1 0.00003, p 0.01000, r 0.00001
Iter 200, task semcor, loss 2.971373919374454, acc 0.52824, f1 0.00001, p 0.01316, r 0.00001
Iter 300, task semcor, loss 2.8483238931028, acc 0.52564, f1 0.00001, p 0.12500, r 0.00001
Iter 400, task semcor, loss 2.765013093040103, acc 0.52282, f1 0.00001, p 0.12500, r 0.00001
Iter 500, task semcor, loss 2.7019323078495128, acc 0.52137, f1 0.00001, p 0.50000, r 0.00001
Iter 600, task semcor, loss 2.6499833537431483, acc 0.52133, f1 0.00099, p 0.36813, r 0.00050
Iter 700, task semcor, loss 2.605068254421463, acc 0.52012, f1 0.00624, p 0.19491, r 0.00317
Iter 800, task semcor, loss 2.5660479424162683, acc 0.51500, f1 0.01408, p 0.12639, r 0.00745
Iter 900, task semcor, loss 2.5305275403688166, acc 0.51024, f1 0.03527, p 0.13696, r 0.02024
Iter 1000, task semcor, loss 2.4987892586251963, acc 0.51246, f1 0.04447, p 0.15452, r 0.02597
Iter 1100, task semcor, loss 2.46905195268785, acc 0.51837, f1 0.06689, p 0.18114, r 0.04102
Iter 1200, task semcor, loss 2.4412462042478795, acc 0.52314, f1 0.08087, p 0.19419, r 0.05107
Iter 1300, task semcor, loss 2.4148914140203726, acc 0.52874, f1 0.09622, p 0.20361, r 0.06300
Iter 1400, task semcor, loss 2.3897784681794065, acc 0.53414, f1 0.10742, p 0.20702, r 0.07253
Iter 1500, task semcor, loss 2.3653592584542853, acc 0.54187, f1 0.12042, p 0.21431, r 0.08374
Iter 1600, task semcor, loss 2.341482576376163, acc 0.55163, f1 0.13704, p 0.22903, r 0.09777
Iter 1700, task semcor, loss 2.318177072157771, acc 0.56178, f1 0.14692, p 0.24697, r 0.10456
Iter 1800, task semcor, loss 2.2946528228420155, acc 0.57028, f1 0.16105, p 0.24916, r 0.11897
Iter 1900, task semcor, loss 2.2714611911378784, acc 0.57557, f1 0.17186, p 0.25867, r 0.12868
Iter 2000, task semcor, loss 2.2484744843982516, acc 0.58124, f1 0.18551, p 0.26270, r 0.14338
