Iter 10, task semcor, loss 4.254415512084961
Iter 20, task semcor, loss 4.181877136230469
Iter 30, task semcor, loss 4.110116004943848
Iter 40, task semcor, loss 4.01091194152832
Iter 50, task semcor, loss 3.9317944049835205
Iter 60, task semcor, loss 3.819169282913208
Iter 70, task semcor, loss 3.735146999359131
Iter 80, task semcor, loss 3.598116636276245
Iter 90, task semcor, loss 3.4744205474853516
Iter 100, task semcor, loss 3.3635413646698
Iter 110, task semcor, loss 3.2935874462127686
Iter 120, task semcor, loss 3.223738193511963
Iter 130, task semcor, loss 3.1364710330963135
Iter 140, task semcor, loss 3.1890649795532227
Iter 150, task semcor, loss 3.1387295722961426
Iter 160, task semcor, loss 3.0235953330993652
Iter 170, task semcor, loss 3.080571174621582
Iter 180, task semcor, loss 3.068629503250122
Iter 190, task semcor, loss 3.0130198001861572
Iter 200, task semcor, loss 3.036390781402588
Iter 210, task semcor, loss 3.018470287322998
Iter 220, task semcor, loss 2.983767032623291
Iter 230, task semcor, loss 2.9445295333862305
Iter 240, task semcor, loss 2.9171042442321777
Iter 250, task semcor, loss 2.9139657020568848
Iter 260, task semcor, loss 2.9385437965393066
Iter 270, task semcor, loss 2.9165680408477783
Iter 280, task semcor, loss 2.926086902618408
Iter 290, task semcor, loss 2.85103178024292
Iter 300, task semcor, loss 2.8764963150024414
Iter 310, task semcor, loss 2.8305511474609375
Iter 320, task semcor, loss 2.808629035949707
Iter 330, task semcor, loss 2.882680654525757
Iter 340, task semcor, loss 2.8378336429595947
Iter 350, task semcor, loss 2.7911081314086914
Iter 360, task semcor, loss 2.870718240737915
Iter 370, task semcor, loss 2.826850175857544
Iter 380, task semcor, loss 2.7507386207580566
Iter 390, task semcor, loss 2.7308833599090576
Iter 400, task semcor, loss 2.7723708152770996
Iter 410, task semcor, loss 2.788471221923828
Iter 420, task semcor, loss 2.793203592300415
Iter 430, task semcor, loss 2.7503774166107178
Iter 440, task semcor, loss 2.7118000984191895
Iter 450, task semcor, loss 2.731959104537964
Iter 460, task semcor, loss 2.6871273517608643
Iter 470, task semcor, loss 2.734330415725708
Iter 480, task semcor, loss 2.7285525798797607
Iter 490, task semcor, loss 2.7064144611358643
Iter 500, task semcor, loss 2.7273669242858887
Iter 510, task semcor, loss 2.6952900886535645
Iter 520, task semcor, loss 2.722860813140869
Iter 530, task semcor, loss 2.666438579559326
Iter 540, task semcor, loss 2.6929125785827637
Iter 550, task semcor, loss 2.7339632511138916
Iter 560, task semcor, loss 2.6663503646850586
Iter 570, task semcor, loss 2.6960713863372803
Iter 580, task semcor, loss 2.7174201011657715
Iter 590, task semcor, loss 2.6745171546936035
Iter 600, task semcor, loss 2.6314034461975098
Iter 610, task semcor, loss 2.6153833866119385
Iter 620, task semcor, loss 2.6316418647766113
Iter 630, task semcor, loss 2.6488633155822754
Iter 640, task semcor, loss 2.598069906234741
Iter 650, task semcor, loss 2.637923240661621
Iter 660, task semcor, loss 2.6221745014190674
Iter 670, task semcor, loss 2.5887856483459473
Iter 680, task semcor, loss 2.5997889041900635
Iter 690, task semcor, loss 2.587448835372925
Iter 700, task semcor, loss 2.579051971435547
Iter 710, task semcor, loss 2.621610403060913
Iter 720, task semcor, loss 2.5570666790008545
Iter 730, task semcor, loss 2.5791409015655518
Iter 740, task semcor, loss 2.578087329864502
Iter 750, task semcor, loss 2.5483558177948
Iter 760, task semcor, loss 2.582618474960327
Iter 770, task semcor, loss 2.576117753982544
Iter 780, task semcor, loss 2.6181015968322754
Iter 790, task semcor, loss 2.5684707164764404
Iter 800, task semcor, loss 2.608678102493286
Iter 810, task semcor, loss 2.502347469329834
Iter 820, task semcor, loss 2.5559334754943848
Iter 830, task semcor, loss 2.5672435760498047
Iter 840, task semcor, loss 2.5312607288360596
Iter 850, task semcor, loss 2.511361837387085
Iter 860, task semcor, loss 2.525658130645752
Iter 870, task semcor, loss 2.5618069171905518
Iter 880, task semcor, loss 2.548191547393799
Iter 890, task semcor, loss 2.5104870796203613
Iter 900, task semcor, loss 2.5513904094696045
Iter 910, task semcor, loss 2.5077860355377197
Iter 920, task semcor, loss 2.557216167449951
Iter 930, task semcor, loss 2.490985155105591
Iter 940, task semcor, loss 2.5697555541992188
Iter 950, task semcor, loss 2.5473735332489014
Iter 960, task semcor, loss 2.5032105445861816
Iter 970, task semcor, loss 2.50610613822937
Iter 980, task semcor, loss 2.5850796699523926
Iter 990, task semcor, loss 2.4654641151428223
Iter 1000, task semcor, loss 2.5255846977233887
Iter 1010, task semcor, loss 2.5049569606781006
Iter 1020, task semcor, loss 2.4848883152008057
Iter 1030, task semcor, loss 2.486572742462158
Iter 1040, task semcor, loss 2.4940848350524902
Iter 1050, task semcor, loss 2.539594888687134
Iter 1060, task semcor, loss 2.4769015312194824
Iter 1070, task semcor, loss 2.4788475036621094
Iter 1080, task semcor, loss 2.4531285762786865
Iter 1090, task semcor, loss 2.4854211807250977
Iter 1100, task semcor, loss 2.4485421180725098
Iter 1110, task semcor, loss 2.4402003288269043
Iter 1120, task semcor, loss 2.4776053428649902
Iter 1130, task semcor, loss 2.460294723510742
Iter 1140, task semcor, loss 2.503077745437622
Iter 1150, task semcor, loss 2.4343583583831787
Iter 1160, task semcor, loss 2.4682421684265137
Iter 1170, task semcor, loss 2.4469056129455566
Iter 1180, task semcor, loss 2.453612804412842
Iter 1190, task semcor, loss 2.467869520187378
Iter 1200, task semcor, loss 2.439358711242676
Iter 1210, task semcor, loss 2.4061012268066406
Iter 1220, task semcor, loss 2.4693007469177246
Iter 1230, task semcor, loss 2.4271183013916016
Iter 1240, task semcor, loss 2.4209678173065186
Iter 1250, task semcor, loss 2.3999695777893066
Iter 1260, task semcor, loss 2.49259877204895
Iter 1270, task semcor, loss 2.421609401702881
Iter 1280, task semcor, loss 2.450432062149048
Iter 1290, task semcor, loss 2.3971195220947266
Iter 1300, task semcor, loss 2.423260450363159
Iter 1310, task semcor, loss 2.418914556503296
Iter 1320, task semcor, loss 2.3658347129821777
Iter 1330, task semcor, loss 2.3762288093566895
Iter 1340, task semcor, loss 2.3715434074401855
Iter 1350, task semcor, loss 2.4305992126464844
Iter 1360, task semcor, loss 2.3720154762268066
Iter 1370, task semcor, loss 2.391573667526245
Iter 1380, task semcor, loss 2.390382766723633
Iter 1390, task semcor, loss 2.4365694522857666
Iter 1400, task semcor, loss 2.3748574256896973
Iter 1410, task semcor, loss 2.4500086307525635
Iter 1420, task semcor, loss 2.422865390777588
Iter 1430, task semcor, loss 2.3570098876953125
Iter 1440, task semcor, loss 2.351592540740967
Iter 1450, task semcor, loss 2.3841238021850586
Iter 1460, task semcor, loss 2.3991217613220215
Iter 1470, task semcor, loss 2.381593704223633
Iter 1480, task semcor, loss 2.424900770187378
Iter 1490, task semcor, loss 2.3579916954040527
Iter 1500, task semcor, loss 2.35310435295105
Iter 1510, task semcor, loss 2.3552324771881104
Iter 1520, task semcor, loss 2.383016347885132
Iter 1530, task semcor, loss 2.3157598972320557
Iter 1540, task semcor, loss 2.3688955307006836
Iter 1550, task semcor, loss 2.347114086151123
Iter 1560, task semcor, loss 2.3692193031311035
Iter 1570, task semcor, loss 2.3657429218292236
Iter 1580, task semcor, loss 2.3343966007232666
Iter 1590, task semcor, loss 2.3606629371643066
Iter 1600, task semcor, loss 2.366887331008911
Iter 1610, task semcor, loss 2.3364086151123047
Iter 1620, task semcor, loss 2.380575656890869
Iter 1630, task semcor, loss 2.3776612281799316
Iter 1640, task semcor, loss 2.3443870544433594
Iter 1650, task semcor, loss 2.3305702209472656
Iter 1660, task semcor, loss 2.3891849517822266
Iter 1670, task semcor, loss 2.395644187927246
Iter 1680, task semcor, loss 2.286503553390503
Iter 1690, task semcor, loss 2.379286527633667
Iter 1700, task semcor, loss 2.296208143234253
Iter 1710, task semcor, loss 2.373059034347534
Iter 1720, task semcor, loss 2.30039119720459
Iter 1730, task semcor, loss 2.3391165733337402
Iter 1740, task semcor, loss 2.2889857292175293
Iter 1750, task semcor, loss 2.2932138442993164
Iter 1760, task semcor, loss 2.3063411712646484
Iter 1770, task semcor, loss 2.251944065093994
Iter 1780, task semcor, loss 2.2942333221435547
Iter 1790, task semcor, loss 2.2419304847717285
Iter 1800, task semcor, loss 2.3105080127716064
Iter 1810, task semcor, loss 2.3610641956329346
Iter 1820, task semcor, loss 2.3132286071777344
Iter 1830, task semcor, loss 2.3052475452423096
Iter 1840, task semcor, loss 2.2688941955566406
Iter 1850, task semcor, loss 2.3325037956237793
Iter 1860, task semcor, loss 2.296138286590576
Iter 1870, task semcor, loss 2.311328172683716
Iter 1880, task semcor, loss 2.2861132621765137
Iter 1890, task semcor, loss 2.2865042686462402
Iter 1900, task semcor, loss 2.291245937347412
Iter 1910, task semcor, loss 2.28459095954895
Iter 1920, task semcor, loss 2.3179447650909424
Iter 1930, task semcor, loss 2.2449281215667725
Iter 1940, task semcor, loss 2.211606502532959
Iter 1950, task semcor, loss 2.232527494430542
Iter 1960, task semcor, loss 2.277233362197876
Iter 1970, task semcor, loss 2.1948885917663574
Iter 1980, task semcor, loss 2.2440237998962402
Iter 1990, task semcor, loss 2.238945245742798
Iter 2000, task semcor, loss 2.241478681564331
Iter 2010, task semcor, loss 2.2517991065979004
Iter 2020, task semcor, loss 2.206611156463623
Iter 2030, task semcor, loss 2.267512798309326
Iter 2040, task semcor, loss 2.211198329925537
Iter 2050, task semcor, loss 2.2693090438842773
Iter 2060, task semcor, loss 2.27000093460083
Iter 2070, task semcor, loss 2.212740659713745
Iter 2080, task semcor, loss 2.1979546546936035
Iter 2090, task semcor, loss 2.2101664543151855
Iter 2100, task semcor, loss 2.2599639892578125
Iter 2110, task semcor, loss 2.228482723236084
Iter 2120, task semcor, loss 2.2231616973876953
Iter 2130, task semcor, loss 2.215930223464966
Iter 2140, task semcor, loss 2.220301866531372
Iter 2150, task semcor, loss 2.2425990104675293
Iter 2160, task semcor, loss 2.3030498027801514
Iter 2170, task semcor, loss 2.2711384296417236
Iter 2180, task semcor, loss 2.2012391090393066
Iter 2190, task semcor, loss 2.1667373180389404
Iter 2200, task semcor, loss 2.210479736328125
Iter 2210, task semcor, loss 2.210292100906372
Iter 2220, task semcor, loss 2.269900321960449
Iter 2230, task semcor, loss 2.15558123588562
Iter 2240, task semcor, loss 2.1790053844451904
Iter 2250, task semcor, loss 2.156325578689575
Iter 2260, task semcor, loss 2.1903560161590576
Iter 2270, task semcor, loss 2.184974193572998
