Iter 100, task streusle, loss 4.183495171864828, acc 0.47687, f1 0.00000, p 0.00000, r 0.00000
Iter 200, task streusle, loss 3.770556020736694, acc 0.47962, f1 0.00000, p 0.00000, r 0.00000
Iter 300, task streusle, loss 3.6047729810078937, acc 0.47732, f1 0.00000, p 0.00000, r 0.00000
Iter 400, task streusle, loss 3.508726930618286, acc 0.46938, f1 0.00000, p 0.00000, r 0.00000
Iter 500, task streusle, loss 3.444062280654907, acc 0.45747, f1 0.00000, p 0.00000, r 0.00000
Iter 600, task streusle, loss 3.394484869639079, acc 0.45763, f1 0.00000, p 0.00000, r 0.00000
Iter 700, task streusle, loss 3.354399077097575, acc 0.46419, f1 0.00000, p 0.00000, r 0.00000
Iter 800, task streusle, loss 3.3191218535105387, acc 0.46587, f1 0.00000, p 0.00000, r 0.00000
Iter 900, task streusle, loss 3.2875380674997965, acc 0.46694, f1 0.00000, p 0.00000, r 0.00000
Iter 1000, task streusle, loss 3.258304818471273, acc 0.46786, f1 0.00293, p 0.26316, r 0.00147
Iter 1100, task streusle, loss 3.2305712064107257, acc 0.47015, f1 0.01155, p 0.29851, r 0.00589
Iter 1200, task streusle, loss 3.203671105702718, acc 0.47580, f1 0.03159, p 0.37838, r 0.01649
Iter 1300, task streusle, loss 3.1777565320332846, acc 0.48267, f1 0.05758, p 0.37193, r 0.03120
Iter 1400, task streusle, loss 3.1525101979573567, acc 0.48969, f1 0.07960, p 0.38035, r 0.04445
Iter 1500, task streusle, loss 3.1275174617767334, acc 0.50008, f1 0.11142, p 0.39855, r 0.06476
Iter 1600, task streusle, loss 3.1031367619832357, acc 0.50847, f1 0.13467, p 0.40029, r 0.08095
Iter 1700, task streusle, loss 3.0798224925994875, acc 0.51306, f1 0.14433, p 0.39474, r 0.08831
Iter 1800, task streusle, loss 3.0558120727539064, acc 0.51764, f1 0.15736, p 0.36393, r 0.10038
Iter 1900, task streusle, loss 3.0326382319132485, acc 0.52374, f1 0.17205, p 0.36919, r 0.11216
Iter 2000, task streusle, loss 3.0099562803904214, acc 0.52634, f1 0.17889, p 0.35552, r 0.11952
Iter 2100, task streusle, loss 2.987539545694987, acc 0.53107, f1 0.18953, p 0.35755, r 0.12894
Iter 2200, task streusle, loss 2.966164541244507, acc 0.53917, f1 0.20947, p 0.35960, r 0.14778
Iter 2300, task streusle, loss 2.945035791397095, acc 0.54711, f1 0.22436, p 0.36984, r 0.16102
Iter 2400, task streusle, loss 2.92371080716451, acc 0.55444, f1 0.23804, p 0.36875, r 0.17574
Iter 2500, task streusle, loss 2.903018045425415, acc 0.55963, f1 0.24639, p 0.37530, r 0.18340
Iter 2600, task streusle, loss 2.882927131652832, acc 0.56558, f1 0.25676, p 0.37844, r 0.19429
Iter 2700, task streusle, loss 2.8630548159281415, acc 0.56971, f1 0.26531, p 0.38342, r 0.20283
Iter 2800, task streusle, loss 2.8436744848887128, acc 0.57505, f1 0.27485, p 0.37757, r 0.21607
Iter 2900, task streusle, loss 2.8243659337361655, acc 0.58116, f1 0.28582, p 0.39022, r 0.22549
Iter 3000, task streusle, loss 2.805906136830648, acc 0.58589, f1 0.29599, p 0.40346, r 0.23374
Iter 3100, task streusle, loss 2.787558682759603, acc 0.59200, f1 0.30747, p 0.40798, r 0.24669
Iter 3200, task streusle, loss 2.7691888014475503, acc 0.59627, f1 0.31493, p 0.41340, r 0.25434
Iter 3300, task streusle, loss 2.7513448079427083, acc 0.59918, f1 0.31861, p 0.40857, r 0.26111
Iter 3400, task streusle, loss 2.7342448234558105, acc 0.60559, f1 0.33127, p 0.43319, r 0.26818
Iter 3500, task streusle, loss 2.7165164788564047, acc 0.61032, f1 0.33900, p 0.43242, r 0.27878
Iter 3600, task streusle, loss 2.699289353688558, acc 0.61307, f1 0.34355, p 0.43521, r 0.28378
Iter 3700, task streusle, loss 2.6820663928985597, acc 0.61735, f1 0.35115, p 0.44231, r 0.29114
Iter 3800, task streusle, loss 2.6652889410654703, acc 0.61933, f1 0.35435, p 0.44302, r 0.29526
