Iter 10, task streusle, loss 4.762569904327393
Iter 20, task streusle, loss 4.722079277038574
Iter 30, task streusle, loss 4.66645622253418
Iter 40, task streusle, loss 4.616568565368652
Iter 50, task streusle, loss 4.5670671463012695
Iter 60, task streusle, loss 4.506257057189941
Iter 70, task streusle, loss 4.443949222564697
Iter 80, task streusle, loss 4.380928039550781
Iter 90, task streusle, loss 4.275056838989258
Iter 100, task streusle, loss 4.2239813804626465
Iter 110, task streusle, loss 4.127511024475098
Iter 120, task streusle, loss 4.096724033355713
Iter 130, task streusle, loss 3.978081226348877
Iter 140, task streusle, loss 3.913539409637451
Iter 150, task streusle, loss 3.9207980632781982
Iter 160, task streusle, loss 3.8967361450195312
Iter 170, task streusle, loss 3.883528232574463
Iter 180, task streusle, loss 3.791311740875244
Iter 190, task streusle, loss 3.770718812942505
Iter 200, task streusle, loss 3.7851955890655518
Iter 210, task streusle, loss 3.737907886505127
Iter 220, task streusle, loss 3.699280261993408
Iter 230, task streusle, loss 3.6881794929504395
Iter 240, task streusle, loss 3.690380573272705
Iter 250, task streusle, loss 3.6964383125305176
Iter 260, task streusle, loss 3.6318676471710205
Iter 270, task streusle, loss 3.591756820678711
Iter 280, task streusle, loss 3.5814907550811768
Iter 290, task streusle, loss 3.644947052001953
Iter 300, task streusle, loss 3.5980842113494873
Iter 310, task streusle, loss 3.537860870361328
Iter 320, task streusle, loss 3.5932857990264893
Iter 330, task streusle, loss 3.572751522064209
Iter 340, task streusle, loss 3.6124682426452637
Iter 350, task streusle, loss 3.5216307640075684
Iter 360, task streusle, loss 3.5617897510528564
Iter 370, task streusle, loss 3.5190463066101074
Iter 380, task streusle, loss 3.5267608165740967
Iter 390, task streusle, loss 3.474550724029541
Iter 400, task streusle, loss 3.4958901405334473
Iter 410, task streusle, loss 3.4953866004943848
Iter 420, task streusle, loss 3.5027575492858887
Iter 430, task streusle, loss 3.4910387992858887
Iter 440, task streusle, loss 3.4889755249023438
Iter 450, task streusle, loss 3.3895606994628906
Iter 460, task streusle, loss 3.504870653152466
Iter 470, task streusle, loss 3.3701884746551514
Iter 480, task streusle, loss 3.455787181854248
Iter 490, task streusle, loss 3.3717803955078125
Iter 500, task streusle, loss 3.4093728065490723
Iter 510, task streusle, loss 3.3999648094177246
Iter 520, task streusle, loss 3.3712375164031982
Iter 530, task streusle, loss 3.3688368797302246
Iter 540, task streusle, loss 3.4049510955810547
Iter 550, task streusle, loss 3.403149127960205
Iter 560, task streusle, loss 3.378300905227661
Iter 570, task streusle, loss 3.4052817821502686
Iter 580, task streusle, loss 3.3960347175598145
Iter 590, task streusle, loss 3.377162456512451
Iter 600, task streusle, loss 3.3466358184814453
Iter 610, task streusle, loss 3.384234666824341
Iter 620, task streusle, loss 3.3798141479492188
Iter 630, task streusle, loss 3.3507895469665527
Iter 640, task streusle, loss 3.410399913787842
Iter 650, task streusle, loss 3.298035144805908
Iter 660, task streusle, loss 3.319089412689209
Iter 670, task streusle, loss 3.3780624866485596
Iter 680, task streusle, loss 3.333862781524658
Iter 690, task streusle, loss 3.354802370071411
Iter 700, task streusle, loss 3.2616240978240967
Iter 710, task streusle, loss 3.3649742603302
Iter 720, task streusle, loss 3.3480124473571777
Iter 730, task streusle, loss 3.2962749004364014
Iter 740, task streusle, loss 3.248767375946045
Iter 750, task streusle, loss 3.3236019611358643
Iter 760, task streusle, loss 3.2738537788391113
Iter 770, task streusle, loss 3.2718887329101562
Iter 780, task streusle, loss 3.291774272918701
Iter 790, task streusle, loss 3.3306243419647217
Iter 800, task streusle, loss 3.29768443107605
Iter 810, task streusle, loss 3.249194383621216
Iter 820, task streusle, loss 3.266317367553711
Iter 830, task streusle, loss 3.3128445148468018
Iter 840, task streusle, loss 3.2726287841796875
Iter 850, task streusle, loss 3.309678554534912
Iter 860, task streusle, loss 3.334294080734253
Iter 870, task streusle, loss 3.2613511085510254
Iter 880, task streusle, loss 3.233241319656372
Iter 890, task streusle, loss 3.218515396118164
Iter 900, task streusle, loss 3.3589138984680176
Iter 910, task streusle, loss 3.304611921310425
Iter 920, task streusle, loss 3.1595635414123535
Iter 930, task streusle, loss 3.219465732574463
Iter 940, task streusle, loss 3.2025833129882812
Iter 950, task streusle, loss 3.2301337718963623
Iter 960, task streusle, loss 3.238126277923584
Iter 970, task streusle, loss 3.1650357246398926
Iter 980, task streusle, loss 3.2305331230163574
Iter 990, task streusle, loss 3.240741729736328
Iter 1000, task streusle, loss 3.170740842819214
Iter 1010, task streusle, loss 3.1914284229278564
Iter 1020, task streusle, loss 3.24519681930542
Iter 1030, task streusle, loss 3.192901849746704
Iter 1040, task streusle, loss 3.246511936187744
Iter 1050, task streusle, loss 3.24576997756958
Iter 1060, task streusle, loss 3.1793212890625
Iter 1070, task streusle, loss 3.1976146697998047
Iter 1080, task streusle, loss 3.166987180709839
Iter 1090, task streusle, loss 3.2598700523376465
Iter 1100, task streusle, loss 3.198969602584839
Iter 1110, task streusle, loss 3.205744981765747
Iter 1120, task streusle, loss 3.1774888038635254
Iter 1130, task streusle, loss 3.1743741035461426
Iter 1140, task streusle, loss 3.1983895301818848
Iter 1150, task streusle, loss 3.1929686069488525
Iter 1160, task streusle, loss 3.2178256511688232
Iter 1170, task streusle, loss 3.1645493507385254
